Type,Floor Area,Address,Price,Currency,Description,Datetime,Furniture,Elevator,Location from the Street,Entrance,Lease Type,Minimum Rental Period,Prepayment,Utility Payments,Parking,Links
Retail Space,80 sq.m.,"Nairyan Str., Sevan","80,000 ֏",AMD,"Flower shop next to the entrance to Sevan next to the mourning hall, for details callTranslated from Armenian",Nov-24-2022_22-29,,,,,,,,,,https://list.am/en/item/17640521
Retail Space,72 sq.m.,Gegharkunik › Sevan,"150,000 ֏",AMD,"A space for rent in the city of Sevan in front of VTB Bank, with all utilitiesTranslated from Armenian",Nov-24-2022_22-29,Not available,Not available,First Line,Common from the Street,Direct Lease,1 year,Without prepayment,By Agreement,,https://list.am/en/item/18236175
Office Space,220 sq.m.,Gegharkunik › Sevan,"180,000 ֏",AMD,"In Svan town there is a good technical space for rent. The 2nd floor has only a common living room. It has a separate kitchen. Kitchen, bathroom, toilet area.Translated from Armenian",Nov-24-2022_22-29,,,,,,,,,,https://list.am/en/item/17724190
Everything Else,50 sq.m.,Gegharkunik › Gavar,"600,000 ֏",AMD,"For rent, a storage room, a refrigerator, a refrigerator, providing up to -35° degrees. 2 separate rooms together. You can use large quantities of meat products for preserving fruits and vegetables. Is rented for at least 1 monthRefrigerator refrigeratorTranslated from Armenian",Nov-24-2022_22-29,Available,Not available,First Line,Separate from the Street,Direct Lease,6 months,Without prepayment,Included,,https://list.am/en/item/18111665
Industrial and Manufacturing,2500 sq.m.,Gegharkunik › Sevan,"2,500,000 ֏",AMD,"Վարձակալության է տրվում գործարան իր բոլոր արտադրական սարքավորումներով, կայացած արտադրություն է, ունի արդեն 800 խանութ կա պայմանագրեր Ռուսաստանի, Եվրոպայիև Ամերիկայի հետ ։ Վաճառվում է կայացաց գործարան որե ունի արդեն 800 խանութ կա պայմանագրեր Ռուսաստանի, Եվրոպայիև Ամերիկայի հետ ։ Վաճառվում է կայացաց գործարան որե ունի արդեն 800 խանութ կա պայմանագրեր Ռուսաստանի, Եվ... Сдается в аренду фабрика со всем производственным оборудованием, это налаженное производство, у нее уже 800 магазинов, есть контракты с Россией, Европой и Америкой. Продается налаженная фабрика, которая уже имеет 800 магазинов и контракты с Россией, Европой и Америкой. Продается налаженная фабрика, в которой уже 800 магазинов, есть контракты с Россией, Европой... A factory with all production equipment is for rent, this is an established production, it already has 800 stores, there are contracts with Russia, Europe and America. An established factory is for sale, which already has 800 stores and contracts with Russia, Europe and America. A well-established factory is for sale, in which there are already 800 stores, there are contracts with Russia, Europe...",Nov-24-2022_22-29,,,,,,,,,,https://list.am/en/item/17632842
Hotel,"15,000 sq.m.",Gegharkunik › Sevan,"70,000 ֏",AMD,"Տրվում է վարցակալության երկարաժամկետ կառավարման նորակառույց, շքեղ շինություն Դրախտիկում, էկո տարածք, ամենատաք ափը, Կապուտակ Սևան համալիրի հարևանությամբ) առկա է 20 առանձին սենյակ, հարմար է հյուրանոցի, Դեսպանատան, ՏՏ Ընկերությունների, ռեստորանի և այլ, ունի բոլոր հարմարոթյունները հանգիստը վայելելու համար, սկուտեռներ, կվադռոցիկլներ, կատեռ, կա լողավազան սաունա և այլի հարմարություններ ։ Сдаётся в для управления долгосрочной аренды, элитное здание в село Драхтик, Эко район, самое теплое побережье, рядом с комплексом Капутак Севан) Имеется 20 отдельных комнат, подходит для отелей, посольств, IТ-компаний, ресторанов и др. , есть все удобства для проживания и. Т. Д, скутеры, квадроциклы, катер, есть бассейн, сауна и другие удобства. An elite building for rent in Drakhtik, eco-district, the warmest coast, next to the Kaputak Sevan complex for rent under long-term lease management) suitable for hotels, embassies, IT companies, restaurants, etc. There is a swimming pool, sauna and other amenities.Translated from Armenian",Nov-24-2022_22-29,,,,,,,,,,https://list.am/en/item/18100645
Office Space,21 sq.m.,"Nairyan Str., Sevan","49,000 ֏",AMD,"An office is for rent in Xi'an Municipality.It will be convenient for your own office, lawyer or similar activities.Internet is included in the priceThe property also has a fireproof safeDetails: Call for:Translated from Armenian",Nov-24-2022_22-29,Available,Not available,First Line,Common from the Street,Direct Lease,1 month,Without prepayment,Included,,https://list.am/en/item/17542442
Functioning Business,"20,000 sq.m.",Gegharkunik › Shoghakat,"$1,200",USD,Привет друзья отдам в аренду прекрасный райский уголок для отдыха и бизнеса общая площадь 2-гектара на берегу имеется беседка паркинг для машин территория кругом огорожена сеткой есть ворота,Nov-24-2022_22-29,Not available,Not available,First Line,Common from the Street,Sublease,5 years,6 months,By Agreement,,https://list.am/en/item/18340738
Retail Space,68 sq.m.,"Ա. Սեսմանուկյան փողոց 1, Վարդենիս","70,000 ֏",AMD,"Suitable for all types of business. The building is newly renovated. It has all the amenities. Arkogh, located near the polyclinic. Price is negotiable.Translated from Armenian",Nov-24-2022_22-29,,,,,,,,,,https://list.am/en/item/17302763
Multifunctional Space,"15,000 sq.m.",Gegharkunik › Sevan,"70,000 ֏",AMD,"Հանձվում է կառավարման Գեղեցիկ հյուրատուն, իր տարացքով, բազմաֆունկցիոնալ գույք Սևանում, 15000հա տարածք ունի բոլոր հարմարությունները Ռեստորան, լողավազան, սաունա բոլոր հարմարությունները, անվտանգության համակարգ, հզոր ինտերնետ, կարող է ծառայել դեսպանատան համար, ՏՏ ոլորտի, հյուրանոց, այս տարածքը գտնվում է էկոլոգւպես մաքուր վայրում, հագեցած բոլոր տեխնիկայով, պրոֆեսիոնալ սարքավորումմերով, խոհանոցով, Բուխարիկ, Թոնիր։ եռաֆազ հոսանք Здается в аренду Красивый дом, апартамент, многофункциаеальное недвижомость на Севане, площадь15000га есть все удобсва Ресторан, Басеин, Сауна все удобства, система безопасности, мощный интернет, Может служить для посольства, IT Сектор, гостиница, это територрия насыщена всеми оборудованиями, професианальная кухня, а так же Бухарик, Тонир. Трехфазовая электричество For rent Beautiful house, apartment, multi-functional property in Sevan, area 15000ha has all the amenities Restaurant, Pool, Sauna all amenities, security system, powerful internet, Can serve for the embassy, IT Sector, hotel, this area is full of all equipments, professional kitchen, as well as Bukharik, Tonir. Three-phase electricity",Nov-24-2022_22-29,,,,,,,,,,https://list.am/en/item/18148568
Retail Space,200 sq.m.,"Nairyan Str., Sevan","100,000 ֏",AMD,"Commercial or office space is for rent on the main road of Xian city, on the ground floor of a new building, capitally renovated.Translated from Armenian",Nov-24-2022_22-29,,,,,,,,,,https://list.am/en/item/13132477
Office Space,100 sq.m.,"Nairyan Str., Sevan","120,000 ֏",AMD,"Commercial area is for rent on the main road of Shan with all communal facilities, newly built 100 square meters.Translated from Armenian",Nov-24-2022_22-29,,,,,,,,,,https://list.am/en/item/15476255
Multifunctional Space,416 sq.m.,"Khaghagutyan street, Sevan town","400,000 ֏",AMD,"City A building is for rent in Sjan, which you can use for commercial, office or other business purposes, at 27 Peace Street. The 1st floor has a high ceiling, big windows, it is projecting, it has 2 entrance doors, there is two-phase electricity. For details, call the listed phone numbers or write Viber / Telegram.Only those with real intentions will callSearch Keywords:Building, area, business, office space, shop, supermarketTranslated from Armenian",Nov-24-2022_22-29,,,,,,,,,,https://list.am/en/item/17580364
Functioning Business,30 sq.m.,"Улица Бошнагян 17, Гавар","$6,000",USD,Кабелагорцнери фохоц ашхатох ханут наев фоханакум ем афтои ет,Nov-24-2022_22-29,,,,,,,,,,https://list.am/en/item/17976180
Office Space,60 sq.m.,Gegharkunik › Vardenis,"100,000 ֏",AMD,"An area is for rent on the central street, it is suitable for office and commercial activities. If you have any questions, call or write.Translated from Armenian",Nov-24-2022_22-29,,,,,,,,,,https://list.am/en/item/16826743
Retail Space,40 sq.m.,"Nalbandyan street, Sevan town","50,000 ֏",AMD,"For sale or rent, inside the store there is three-phase electricity, toilet, separate roomInside are product displaysTranslated from Armenian",Nov-24-2022_22-29,,,,,,,,,,https://list.am/en/item/16842151
Industrial and Manufacturing,800 sq.m.,Gegharkunik › Tsovagyugh,$100,USD,Basins are provided free of charge. Fish farming is provided free of chargeTranslated from Armenian,Nov-24-2022_22-29,,,,,,,,,,https://list.am/en/item/17644771
Hotel,100 sq.m.,Gegharkunik › Sevan,"35,000 ֏",AMD,"Sevanum qotej sevan We invite you to spend an unforgettable vacation in Sevan. We have comfortable and affordable cottages.Rent a Cottage for only 35,000 AMD for 10 people.Provided with utilities.*Toner*Barbecuing* Kitchen utensils*Clean linen* Barbecue skewer*Separate kitchen* WI-FI:CallTranslated from Armenian",Nov-24-2022_22-29,,,,,,,,,,https://list.am/en/item/17205580
Office Space,20 sq.m.,"Nairyan Str., Sevan","50,000 ֏",AMD,Premises for rent. In the city of Sevan. Next to Shuka Post Office... On Central Street.Translated from Armenian,Nov-24-2022_22-29,,,,,,,,,,https://list.am/en/item/18010372
Industrial and Manufacturing,600 sq.m.,Gegharkunik › Gavar,"600,000 ֏",AMD,It is for rent or sale. Price is negotiable.Translated from Armenian,Nov-24-2022_22-29,Not available,Not available,First Line,Common from the Street,Direct Lease,5 years,6 months,Included,"COvered parking, garage",https://list.am/en/item/16850075
Everything Else,80 sq.m.,"Nairyan Street, Sevan town","200,000 ֏",AMD,The area is for rent on a contract basisNairyan street 181/16 in Sean cityCommercial real estate of 80 square meters has a basement and garage that can be used as a warehouse.It is possible to sell.Translated from Armenian,Nov-24-2022_22-29,,,,,,,,,,https://list.am/en/item/17174709
Retail Space,67 sq.m.,"Մյասնիկյան փողոց 66, Մարտունի","130,000 ֏",AMD,"The area is located in the city of Martuni, near the market, on a busy street. It is suitable for office and commercial activities. There is water, gas, electricity, and a bathroom. The area is renovated.Translated from Armenian",Nov-24-2022_22-29,,,,,,,,,,https://list.am/en/item/18122422
Office Space,80 sq.m.,"Գարեգին Նժդեհի փողոց, Ճամբարակ","10,000 ֏",AMD,"A very nice building is for rent, newly renovated, very nice and bright, with an area of 80 square meters, if you have any other questions, call me and I will answer.Translated from Armenian",Dec-15-2022_21-28,Not available,Not available,First Line,Separate from the Street,Direct Lease,1 year,By Agreement,By Agreement,,https://list.am/en/item/18633971
Office Space,260 sq.m.,Gegharkunik › Sevan,$700,USD,"A two-story area of 260 square meters is for sale, the address is Sevan, Nairyan 160.$700 per square meterTranslated from Armenian",Dec-15-2022_21-28,,,,,,,,,,https://list.am/en/item/16865875
Industrial and Manufacturing,3000 sq.m.,Gegharkunik › Sevan,"2,500,000 ֏",AMD,"Վարձակալության է տրվում գործարան իր բոլոր արտադրական սարքավորումներով, կայացած արտադրություն է, ունի արդեն 800 խանութ կա պայմանագրեր Ռուսաստանի, Եվրոպայիև Ամերիկայի հետ ։ Վաճառվում է կայացաց գործարան որե ունի արդեն 800 խանութ կա պայմանագրեր Ռուսաստանի, Եվրոպայիև Ամերիկայի հետ ։ Վաճառվում է կայացաց գործարան որե ունի արդեն 800 խանութ կա պայմանագրեր Ռուսաստանի, Եվ... Сдается в аренду фабрика со всем производственным оборудованием, это налаженное производство, у нее уже 800 магазинов, есть контракты с Россией, Европой и Америкой. Продается налаженная фабрика, которая уже имеет 800 магазинов и контракты с Россией, Европой и Америкой. Продается налаженная фабрика, в которой уже 800 магазинов, есть контракты с Россией, Европой... A factory with all production equipment is for rent, this is an established production, it already has 800 stores, there are contracts with Russia, Europe and America. An established factory is for sale, which already has 800 stores and contracts with Russia, Europe and America. A well-established factory is for sale, in which there are already 800 stores, there are contracts with Russia, Europe...",Dec-15-2022_21-28,Available,Not available,First Line,Separate from the Street,Direct Lease,2 months,2 months,Not included,,https://list.am/en/item/18491430
Retail Space,110 sq.m.,Gegharkunik › Sevan,"200,000 ֏",AMD,"A commercial space is for rent on Shahumyan street in Sevan city, near Hraparak. The area is thoroughly renovated, suitable for any type of activity. Rent is negotiable.Translated from Armenian",Dec-15-2022_21-28,Not available,Not available,First Line,Common from the Street,Direct Lease,6 months,Without prepayment,Not included,,https://list.am/en/item/18406689
Functioning Business,,"Գրիբոեդով փողոց 5, Սևան","50,000 ֏",AMD,"Commercial space in 4 micro-neighborhoods is for urgent rent; The area has all utilities and three-phase electricity. With its comfort, the space can serve as a workshop, shop, beauty salon. It is also possible to exchange with a 3-room apartment for an additional fee from me.Translated from Armenian",Dec-15-2022_21-28,Not available,Not available,Other,Separate from the Street,Direct Lease,6 months,6 months,By Agreement,,https://list.am/en/item/18085897
Multifunctional Space,200 sq.m.,"Նաիրյան փողոց 86, Սևան","250,000 ֏",AMD,"Սևանի Կենտրոն Նաիրյան 86 հասցեում, նորակառույց շենքի -1 հարկում տրվում է վարձակալության կոմերցիոն տարածք: Տարածքը կապիտալ վերանորոգված է և ունի բոլոր կոմունիկացիոն հարմարությունները։ Տարածքը գտնվում է 1-ին գծում, մուտքը անմիջապես փողոցից: Ունի 2 սրահ, 2 աշխատասենյակ, 2 պահեստային մաս և 2 սանհանգույց: Այն կապիտալ վերանորոգված է: Սանհանգույցները սալիկապատված են, հագեցած սանտեխնիկայով: Տեղադրված է անվտանգության համակարգ։Հարմար է ցանկացած գործունեության համար: Տարածքը ընդհանուր 200 քառակուսի է ցանկության դեպքում կարող է տրվի տարածքի կեսը -140000 դրամով։Տրվում է սեփականատիրոջ կողմից։Այլ մանրամասների համար զանգահարեք նշված համարով։Сдается коммерческое помещение на 1 этаже новостройки по адресу улица Наиряна 86, в центре города Севан. Помещение полностью отремонтировано и имеет все коммуникационные удобства. Помещение расположено на 1-й линии, вход прямо с улицы. Оно имеет 2 зала, 2 офиса, 2 складских помещения и 2 санузла. Помещение полностью отремонтировано. Санузлы выложены плиткой, оборудованы сантехникой. Установлена система безопасности.Подходит для любой деятельности. Общая площадь 200 кв м, при желании половину площади можно сдать за 140000 драм, сдает собственник.Для подробностей звонить по указанному номеру.Translated from Armenian",Dec-15-2022_21-28,Not available,Not available,First Line,Common from the Street,Direct Lease,6 months,By Agreement,Not included,Outdoor parking,https://list.am/en/item/18670255
Office Space,150 sq.m.,Gegharkunik › Gavar,"450,000 ֏",AMD,"The newly built building is located in the central and busy part of Gavar city. The area is quite bright and sunny. It has a high-quality ventilation system. If desired and by mutual agreement, a separate parking space for up to 10 cars will be provided.Translated from Armenian",Dec-15-2022_21-28,Not available,Not available,First Line,Common from the Street,Direct Lease,1 year,3 months,Not included,Outdoor parking,https://list.am/en/item/18649805
Everything Else,100 sq.m.,"Նաիրյան փողոց 131, Սևան","250,000 ֏",AMD,"For rent in the city of Sevan, front line in the center, capitally renovated, call my viber, two rooms are for rent, suitable for different shops, suitable for banking, suitable for offices, call my viberTranslated from Armenian",Dec-15-2022_21-28,Not available,Not available,First Line,Common from the Street,Direct Lease,5 years,By Agreement,By Agreement,Outdoor parking,https://list.am/en/item/18634385
Retail Space,30 sq.m.,Gegharkunik › Martuni,"150,000 ֏",AMD,"The area is located in front of Ararat Bank, which has not reached the Martuni market.The price is final.Translated from Armenian",Dec-15-2022_21-28,Available,Not available,First Line,Common from the Street,Direct Lease,1 year,1 month,Not included,,https://list.am/en/item/18623686
Functioning Business,500 sq.m.,"Улица Саядян 1, Гавар","180,000 ֏",AMD,Gas station for rentTranslated from Armenian,Dec-15-2022_21-28,Partial Furniture,Not available,First Line,Common from the Street,Direct Lease,6 months,By Agreement,By Agreement,Outdoor parking,https://list.am/en/item/18704388
Everything Else,50 sq.m.,Gegharkunik › Vardenis,"10,000 ֏",AMD,The space for daily rent is intended for recreation. There is a store next to it. It is very convenient for entertainment. The price for a soldier's family is different. The rest by callingTranslated from Armenian,Dec-15-2022_21-28,Available,Not available,First Line,Common from the Street,Direct Lease,1 month,By Agreement,By Agreement,,https://list.am/en/item/18564432
Retail Space,400 sq.m.,"Մյասնիկյան փողոց 42, Մարտունի","170,000 ֏",AMD,"A fenced area of 400 square meters is for rent. M. Together with the cabin, right on the Yeghegnadzor road of Sevan Martuni, in the Martuni region, in the busiest part, the area is convenient to use for commercial and other purposes, the monthly payment is 170,000 drams can be negotiated, the rest of the questions by calling zero ninety four 041988 KaroTranslated from Armenian",Dec-15-2022_21-28,Not available,Not available,First Line,Separate from the Street,Direct Lease,1 month,By Agreement,By Agreement,Outdoor parking,https://list.am/en/item/18650401
Restaurant,3000 sq.m.,Gegharkunik › Sevan,"$80,000",USD,The restaurant complex under Akhtamar is in normal condition.Translated from Armenian,Dec-15-2022_21-29,Available,Not available,Other,Separate from the Courtyard,Direct Lease,5 years,6 months,By Agreement,,https://list.am/en/item/18479440
Hotel,"10,000 sq.m.",Gegharkunik › Sevan,"$70,000",USD,"Տրվում է վարցակալության երկարաժամկետ կառավարման նորակառույց, շքեղ շինություն Դրախտիկում, էկո տարածք, ամենատաք ափը, Կապուտակ Սևան համալիրի հարևանությամբ) Դեսպանատան, ՏՏ Ընկերությունների, ռեստորանի և այլ, ունի բոլոր հարմարոթյունները հանգիստը վայելելու համար, սկուտեռներ, կվադռոցիկլներ, կատեռ, կա լողավազան սաունա և այլի հարմարություններ ։ Сдаётся в для управления долгосрочной аренды, элитное здание в село Драхтик, Эко район, самое теплое побережье, рядом с комплексом Капутак Севан) посольств, IТ-компаний, ресторанов и др. , есть все удобства для проживания и. Т. Д, скутеры, квадроциклы, катер, есть бассейн, сауна и другие удобства. An elite building for rent in Drakhtik, eco-district, the warmest coast, next to the Kaputak Sevan complex for rent under long-term lease management) suitable for hotels, embassies, IT companies, restaurants, etc. There is a swimming pool, sauna and other amenities.",Dec-15-2022_21-29,Available,Not available,First Line,Separate from the Street,Direct Lease,1 year,2 months,Not included,,https://list.am/en/item/18385421
Functioning Business,50 sq.m.,Gegharkunik › Sevan,"200,000 ֏",AMD,"The apartment is located on the Sevan highway, 5 km away from Sevan, at Yerevan-Sevan highway 71/1, the apartment has been used as a grocery store for 3 years. CALL FORTranslated from Armenian",Dec-15-2022_21-29,Available,Available,First Line,Common from the Street,Direct Lease,1 year,Without prepayment,By Agreement,,https://list.am/en/item/18511984
Automotive Service,70 sq.m.,"Երևանյան խճուղի 3, Սևան","100,000 ֏",AMD,"It is newly built, equipped with all facilities, the area is located at the gas station, Moshni! There is movementTranslated from Armenian",Dec-15-2022_21-29,By agreement,Not available,First Line,Common from the Street,Direct Lease,6 months,Without prepayment,Included,,https://list.am/en/item/18082590
Industrial and Manufacturing,24 sq.m.,"Մյասնիկյան փողոց 16, Մարտունի","60,000 ֏",AMD,"In the center of Martuni, a commercial area of 24 square meters is for rent. It used to be a sewing workshop.Translated from Armenian",Dec-15-2022_21-29,,,,,,,,,,https://list.am/en/item/18417200
Hotel,2300 sq.m.,"1-я улица, Чкаловка",$50,USD,"Сдается в аренду полностью гостиничный комплекс, либо возможна процентная ставка от ДОХОДА МОИ НАБЕРЁМ РАБОЧИЙ СОСТАВ, В ГОСТИНИЦЕ 3 ЭТАЖА, 16 номеров, 4 зала, холЫ, склады, много комнат для других нужд, кухня, БАССЕЙНЫ, БИЛЬЯРД. Стоит в очень красивом месте у ОЗЕРА севан в селе чкаловка, все вопросы обсуждаются на месте. Цена ДОГОВОРНАЯ! . Красивый вид на озеро севан. Все вопросы обсуждать лучше на месте! Гостиница находится на трассе СЕВАН - гавар. (СЕЛО ЧКАЛОВКА В СЕВАНЕ! ) прям у берега ОЗЕРА! ОЧЕНЬ БОЛЬШОЙ НАПЛЫВ ТУРИСТОВ В ДАННОЙ МЕСТНОСТИ!",Dec-15-2022_21-29,,,,,,,,,,https://list.am/en/item/18417226
Industrial and Manufacturing,850 sq.m.,"Azatutyan Street 4th Deadlock, Gavar","$130,000",USD,Магазин ЭлектроникиТерритория полностью подлежит ремонтированию12 комнатОдно общее помещение - входная,Dec-15-2022_21-29,,,,,,,,,,https://list.am/en/item/18504133
Everything Else,50 sq.m.,"Улица Ереванян 72/1, Мартуни","200,000 ֏",AMD,Сдаëтся коммерческое помещение!Все вопросы по телефону!,Dec-15-2022_21-29,,,,,,,,,,https://list.am/en/item/18458642
