Type,Construction Type,Floor Area,Floors in the Building,Number of Rooms,Number of Bathrooms,Furniture,Garage,Renovation,Land Area,Address,Price,Currency,Description,Datetime,Links,Condition,Facilities,Appliances,Service Lines
House,Stone,77 sq.m.,2,3,1,,,Old Renovation,1200 sq.m.,Artsakh › Askeran,"$10,000",USD,"Продается каменный двухэтажный трехкомнатный частный дом в деревне Норагюх, жилая площадь 77 кв. М. Площадь земельного участка (ровный участок) более 1200кв. М. Дом приватизирован и обеспечен газом, светом и водой, требует ремонта. Имеется подсобное помещение.Цена 10.000$Վաճառվում է քարե երկհարկանի 3 սենյականոց տուն Նորագյուղում: Տան մակերեսը 77ք. Մ. Է: Ընդհանուր հողատարածքը 1200 ք. Մ.: Տունը սեփականաշնորհված է, ապա-հովված է ջրով, գազով և հոսանքով, վերանորոգման կարիք ունի: Գինը 10.000$",Nov-24-2022_23-05,https://list.am/en/item/16390933,,,,
House,Stone,100 sq.m.,1,4,1,Not available,1 spot,Partial Renovation,486 sq.m.,Artsakh › Stepanakert,"$50,500",USD,"Продается дом в Айкаване Дудина 16 1ый переулок. 4х комнатный с благоустроенным двором площадь участка 486 м2, под домом имеется подвал. Площадь дома 100м2, площадь подвала 40м2. В доме все коммунальные условия, паровое отопление на дровах со встроенным котлом. В 50м расположена остановка общественного транспорта. В огороде много фруктовых деревьев, ореховое дерево. Очень солнечный дом и двор. Не Сдается в аренду!",Nov-24-2022_23-05,https://list.am/en/item/16173932,,,,
House,Stone,100 sq.m.,2,4,1,,,Old Renovation,600 sq.m.,Artsakh › Mardakert,"3,500,000 ֏",AMD,"A house with a plot of land is for sale in Vank village of Artsakh.It is located close to Vank village administration, school and other important points.For more information call.We are ready to discuss options.Translated from Armenian",Nov-24-2022_23-05,https://list.am/en/item/18060638,,,,
House,Stone,60 sq.m.,2,2,1,,,Cosmetic Renovation,100 sq.m.,"Mkhitar Gosh street, Stepanakert","$20,000",USD,"Վաճառվում է երկհարկանի տուն Ստեփանակերտի կենտրոնում առևտրային ավտոտնակով:Ընդհանուր մակերեսը՝ 60մ^2.30մ^2բնակարանի մակերեսը, և ավտոտնակի մակերեսը՝ 30մ^2:Մեկ սենյականոց բնակարանը կոսմետիկ վերանորոգումից հետո, բոլոր հարմարություններով, կահույքով և բաց պատշգամբով: Կա էլեկտրականություն, ջրամատակարարում, սառը և տաք ջուր.Բնակարանը գտնվում է քաղաքի կենտրոնում՝ 7-րդ և 2-րդ դպրոցների միջև: Կողքին կա մանկապարտեզ, փոստ, մի քանի բանկեր, սուպերմարկետ, Թաշիր և Կարաս ռեստորանները:Ավտոտնակը՝ 30մ^2 բոլոր կոմունիկացիաներով, որը կարող է օգտագործվել ինչպես մասնավոր, այնպես էլ առևտրային նպատականերով. Պահեստ, արհեստանոց, մեքենաների սպասարկման կենտրոն, ավտոպահեստամասերի խանութ և արտադրական ապրանքների համար:Հողը սեփականության կարգավիճակում է: Լավ վիճակում է։Продается двухэтажный дом с коммерческим гаражом в центре Степанакерта.Общая площадь дома 60м2.Жилая площадь 30м2, площадь коммерческого гаража: 30м2.Дом после косметического ремонта на 30м2 со всеми удобствами, мебелированный с балконом.Имеется электричество, водоснабжение, горячая и холодная вода, отопление.Дом находится в центре города, между 7-ой и 2-ой школой, рядом детский сад, почта, несколько банков, супермаркет, ресторан Ташир и Карас.Гараж 30м^2 со всеми коммуникациями, который может использоваться как в частных так и в коммерческих целях: Под склад, мастерскую, обувную, автосервис, магазин автозапчастей и промвшленных товаров.Земля находится в собственности.Звоните!",Nov-24-2022_23-05,https://list.am/en/item/17797987,,,,
House,Stone,597 sq.m.,1,3,1,,,No Renovation,597 sq.m.,Artsakh › Stepanakert,"3,800,000 ֏",AMD,"The semi-constructed building is located at 94 Sarin-Tagh district of Stepanakert. The land is 597 square meters, the house is 93.10 square meters. It is fenced, has a gate, fruit trees, gas, light, water. There are two types of sand and gravel in the yard.Translated from Armenian",Nov-24-2022_23-05,https://list.am/en/item/11567641,,,,
House,Stone,350 sq.m.,3,8+,3+,,,Major Renovation,,Artsakh › Stepanakert,"$50,000",USD,"Private house for sale in Stepanakert. Completely new roof. The upper floor is renovated in Euro, the rest is 2 years old. Has land.Translated from Armenian",Nov-24-2022_23-05,https://list.am/en/item/18134325,,,,
House,Stone,300 sq.m.,2,8+,2,,,Old Renovation,2300 sq.m.,"Garegin Njdeh street, Stepanakert","15,000,000 ֏",AMD,"Ton is located in Noragyugh, two-storey stone buildings built next to each other are provided with all communal facilities (light, water, gas), has a garage of 30 sq. M., a large number of apricot fruit trees, there is also a 20-ton thick-walled iron can for water; I will answer the rest of the questions by phone;Translated from Armenian",Nov-24-2022_23-05,https://list.am/en/item/17607953,,,,
House,Stone,204 sq.m.,2,6,2,Available,3 or more spots,Partial Renovation,800 sq.m.,"Vagharsh Vagharshyan street, Stepanakert","$82,000",USD,"Read to the end, then call.It is not sold under the state program, only in cash.It is sold with all the property and equipment. The price is not negotiable, there is no exchange, it is suitable for 2 families.Translated from Armenian",Dec-15-2022_21-46,https://list.am/en/item/17634987,House is Finished,"Swimming pool, barbecue oven","Fridge, washing machine","Electricity, water supply, natural gas, sewerage"
House,Stone,45 sq.m.,3,3,3+,,,No Renovation,,"Aleksey Hekimyan street, Stepanakert","6,000,000 ֏",AMD,"Garage for sale, with the possibility of building a house on the 2nd and 3rd floors, all documents and permits are availableTranslated from Armenian",Dec-15-2022_21-46,https://list.am/en/item/18395091,,,,
House,Stone,223 sq.m.,2,6,1,Available,1 spot,Cosmetic Renovation,600 sq.m.,Artsakh › Stepanakert,"35,000,000 ֏",AMD,"Дом находится рядом со школой N9 /3 паралель/, в хорошем состояние продается с мебелью и бытовой техникой, есть гараж, зем. Участок с фруктовыми диревьями.Так же имеется вторая недвижомость.",Dec-15-2022_21-46,https://list.am/en/item/18527562,House is Finished,,,
House,Stone,133 sq.m.,2,5,2,Not available,Not available,Major Renovation,1050 sq.m.,"Pirumyan street 2nd deadlock 8, Stepanakert","25,000,000 ֏",AMD,A house with its own land is for sale.It is also sold under the state program.Translated from Armenian,Dec-15-2022_21-46,https://list.am/en/item/18638979,,,,"Electricity, water supply, natural gas, sewerage"
House,Stone,80 sq.m.,2,4,1,,,Major Renovation,1000 sq.m.,"Stepan Shahumyan street, Askeran","12,000,000 ֏",AMD,The house is located in Astghashen c. (Dashbulagh) The property has a plot of land with fruit treesTranslated from Armenian,Dec-15-2022_21-46,https://list.am/en/item/18475290,,,,
