Type,Construction Type,Floor Area,Furniture,Elevator,Location from the Street,Entrance,Address,Price,Currency,Description,Datetime,Parking,Links
Restaurant,Stone,400 sq.m.,Available,Not available,First Line,Separate from the Street,Ararat › Ayntap,"$480,000",USD,"Կոդ` B-16239Վաճառվում է 3 հարկանի գործող կոմերցիոն տարածք Այնթափ գյուղում՝ Երևան-Մեղրի ավտոմայրուղու վրա։ Տարածքը վերանորոգված է, շինության մակերեսը՝ 800քմ։ Մուտքի դուռը՝ ապակեպատ, պատուհանները՝ եվրո, հատակը՝ լամինատ, պրեսգրանիտ։Առաջին հարկում ընդունարանն է, երկրորդ հարկում՝ հանդիսությունների սրահ, երրորդ հարկը՝ հյուրանոց։ Ունի խոհանոց, ավտոկայանատեղ, սանհանգույցներ, օդորակիչներ, եռաֆազ հոսանք, անվտանգության և օդափոխության համակարգեր, մշտական ջուր և գազ։ Տարածքը վաճառվում է կահույքով և տեխնիկայով։Գործակալության միջնորդավճարը կազմում է 2 %: Ցուցադրությունների համար կնքվում է ցուցադրման պայմանագիր։ Խնդրում ենք Ձեզ մոտ ունենալ անձը հաստատող փաստաթուղթ։A 3 storey commercial space is for sale in Ayntap village, on the Yerevan-Meghri highway. The whole territory is renovated, the area of the building is 800 sq. M. The entrance door is glass-made, the windows are euro-based, the floor is covered by laminate and solid granite. On the first floor there is a reception hall, on the second floor is a ceremony salon, on the third floor is a hotel. The area has kitchen, parking, bathrooms, air-conditioners, three-phase electricity, security and ventilation systems and is supplied with constant water and gas. The area is being sold with furniture and technical devices.The commission of the Real Estate Agency is 2%. For showing the real estate, a contract is signed. Please have a passport, ID or driving-license with You.",Nov-24-2022_21-59,,https://list.am/en/item/12920964
Multifunctional Space,Stone,5140 sq.m.,Available,Not available,Second Line,Common from the Street,Ararat › Masis,"$140,000",USD,Очень срочно. Позвоните. Будет скидка. Агропроизводительская территория. 5140 кв. М. Հողատարածքի կարգը փոխված է ԱՐՏԱԴՐԱԿԱՆ. Նաև փոխանակում բնակարանի հետ Երեւանում.,Nov-24-2022_21-59,,https://list.am/en/item/18268485
Industrial and Manufacturing,Stone,7280 sq.m.,,,,,Ararat › Geghanist,"$580,000",USD,"BusinessPoultry farm for sale or rent poultry farm businessI am selling a business area with its buildings and all the amenities (adapted for chicken egg-bird production or it can be used for keeping other animals or for a completely different purpose) in Geghanist village, it is very close to the city. There is an area of more than 2 hectares, provided with irrigation water, three-phase electricity, gas, drinking water. The area includes a huge garden, 2 buildings, 2560 sq / m semi-built greenhouse, 620 sq / m basement (can serve as a refrigerator and not only) The area of the 1st building (area for keeping birds or other animals) is 700 square meters, where there is a slaughterhouse (boyan), as well as other facilities, including equipment for making feathers for birds (MOP) The area of the 2nd building is 920 sq / m, where there is a bird food kitchen (with a grinder), 100 sq / m + there is an office-cabinet with a bathroom, and most of the rest is a bird food storage. I have different equipment in the area. You will receive the rest of the information in case of calling.Translated from Armenian",Nov-24-2022_21-59,,https://list.am/en/item/15684422
Retail Space,Bricks,20 sq.m.,,,,,Ararat › Artashat,"$2,500",USD,"A completely stand-alone shop is for sale without a permit, call for questionsTranslated from Armenian",Nov-24-2022_21-59,,https://list.am/en/item/18009889
Multifunctional Space,Stone,423 sq.m.,Not available,Available,First Line,Common from the Street,Ararat › Masis,"$65,000",USD,Business space for saleMasis city of Ararat region1 line423 square meters areaSuitable for various businessesCode BB1100Translated from Armenian,Nov-24-2022_21-59,,https://list.am/en/item/18157067
Restaurant,Stone,3500 sq.m.,,,,,Ararat › Artashat,"$70,000",USD,Existing business for sale. The area is 3500 square meters.It is located on the left side of the road of Zovashen Arevshat villages. Call for details. Price negotiable.Translated from Armenian,Nov-24-2022_21-59,,https://list.am/en/item/18114711
Multifunctional Space,Stone,1400 sq.m.,,,,,Ararat › Ayntap,"105,000,000 ֏",AMD,"Business area and residential house for sale.The business area includes a cement bunker, a building materials store, a 550 kV private power station.The house is two-storey, newly renovated. Has a separate office space. There is a swimming pool and a barbecue in the yard.The whole area is monitored by cameras.Exchange with apartment or construction equipment is possibleTranslated from Armenian",Nov-24-2022_21-59,,https://list.am/en/item/17477706
Functioning Business,Stone,340 sq.m.,Available,Not available,First Line,Separate from the Courtyard,Ararat › Hayanist,"$69,000",USD,"Продается готовый и очень прибыльный бизнес. Самомойка! Бизнесу 2 года, вся техника итальянская с гарантией, имеет две комнаты одна для офиса а в другой можно жить! , продаю в связи с выездом из страны! По всем остальным вопросам звоните или пишите! Exchange is possible! Цена не окончательная!Translated from Armenian",Nov-24-2022_21-59,,https://list.am/en/item/17081495
Retail Space,Stone,100 sq.m.,Available,Not available,Other,Common from the Street,"Azatamartikneri Street, Masis","$35,000",USD,"Shop-house for sale, with a certificate, 100 sq. M. Մ. E + 50 sq. M. Մ. Auxiliary area. It is advisable to pre-order as a home if necessary.Price: $ 35,000, negotiable, for details call the landline numbers.Privatized printing house for sale in the center of Masis, 2000 sq. M. Մ. Area, building, yard with double gates, double entrance. You can use it as a printing house, if you wish, wholesale bases, and in case of reconstruction, a restaurant complex, a kindergarten, a school, at your discretion, the price is negotiable.Translated from Armenian",Nov-24-2022_21-59,,https://list.am/en/item/14250851
Industrial and Manufacturing,Stone,1700 sq.m.,Not available,Not available,First Line,Common from the Street,Ararat › Artashat,"$185,000",USD,"Code ID3516Production area for sale in Artashat, total 1700 square meters, 420 square meters building.Translated from Armenian",Nov-24-2022_21-59,,https://list.am/en/item/17414782
Everything Else,Wooden,3030 sq.m.,,,,,Ararat › Azatashen,"$120,000",USD,3030 sq. M. Area is for sale in Azatashen villageTranslated from Armenian,Nov-24-2022_21-59,,https://list.am/en/item/16456280
Automotive Service,Stone,1700 sq.m.,,,,,"Artashat roadway 51, Dimitrov","$100,000",USD,"For sale: Operating business Car service point can serve other purposes, the total land area is 1700 sq. M. It is a meter, 200 of which are the building. The area is completely fenced with stone. It has the possibility to build a house on both sides. The area has electricity, drinking water, artisan, gas, internet, video surveillance system. The area is located on Artashat-Yerevan road, 49 Artashatyan highway, Dimitrov, Price is negotiableTranslated from Armenian",Nov-24-2022_21-59,,https://list.am/en/item/17820393
Office Space,Stone,80 sq.m.,,,,,"Հրաչյա Թովմասյանի փողոց 1, Արտաշատ","$80,000",USD,"The building is adjacent to the Artashat city court. Suitable for office and any other type of activity. The area is completely renovated, provided with all utilities. There is a heated floor, it is equipped with heating and cooling systems.Translated from Armenian",Nov-24-2022_21-59,,https://list.am/en/item/17838283
Building,Stone,317 sq.m.,Not available,Not available,Other,Separate from the Street,"Խարբերդի 13-րդ փողոց 2/2, Երևան","$10,000",USD,"1-storey building with its land plot is for sale or exchange with a car, the external area of the building is 68.3 square meters, and the total area of the building is 316.8 square meters. The land is privatized, given the right of residential construction. Possibility of drinking water and electricity. In case of sale the price is negotiable. It is also exchanged with a land plot in Ararat region or Aparan region.Translated from Armenian",Nov-24-2022_21-59,,https://list.am/en/item/11372609
Functioning Business,Stone,600 sq.m.,,,,,Ararat › Artashat,"$1,500,000",USD,"Спортивный комплекс, который включает в себя: Гостевой дом рассчитанный на 20 человек, площадка для стрельбы 3 видов: Стендовая, трап, спортинг; собственный трансформатор, собственный источник воды (артезианский источник) + питьевая (Гарни), сауна, зона для готовки, абрикосовые, персиковые поля, виноград, футбольное поле, пляжный волейбол, бассейн, 1,5 км освещение дорогиТорг уместен",Nov-24-2022_21-59,,https://list.am/en/item/15713041
Multifunctional Space,Stone,576 sq.m.,,,,,Ararat › Ararat,"$80,000",USD,"A public area operating in the center of Ararat village, the areas are given for rent, exchange with other property or car.Translated from Armenian",Nov-24-2022_21-59,,https://list.am/en/item/18240083
Restaurant,Stone,450 sq.m.,Not available,Not available,First Line,Common from the Street,"Main Square, Masis","$180,000",USD,"Վաձառվում է կոմերցոն տարցք, գտնվում է կիսակառույց վիճակում, հողամասի չափս 900քմ շինություն 450քմ, շենքը երեք հարկանիե: Նաղագծով ռեստորանային համալիր, առաջի հարկը, (խոհանոց և պահեստային տարացքներ) երկրորդ հարկ մանկական սրճարան և խաղասրահ, երրորդ հարկը հյուրասրհա, մանրամասների համար զանգահարել կամ այցելել մեր գրասենյակ:Կոդ 2318",Nov-24-2022_21-59,,https://list.am/en/item/15716689
Functioning Business,Stone,1600 sq.m.,,,,,Ararat › Geghanist,"30,000,000 ֏",AMD,"An operating rose greenhouse for saleThe land is 1600 m2, the greenhouse is 800 m2, another 200 m2 is added.The greenhouse has a powerful automatic heating system with its own gas Ժ 25 gas station (in case of -40 weather, the greenhouse can provide + 25)There is a fully automatic cooling system, 16 kV own station of three-phase electricity, single-phase electricity.Drip irrigation system.Glass Dutch.The area is monitored by cameras. Internet is available.There is a large building that has not been renovated, a rest room has been renovated.Ready business 12 months harvest.Translated from Armenian",Nov-24-2022_21-59,,https://list.am/en/item/17616276
Functioning Business,Stone,8000 sq.m.,By agreement,Not available,First Line,Separate from the Courtyard,Ararat › Vedi,"$450,000",USD,"Travertine mine for sale with an area of 8 hectares. The mine is operating. There is a very large supply of stoneAll the necessary documents and licenses are included in the price of the equipment2 housesկռան կռազ 20 տ.1 word. Car 2 m.2 pieces of truss1 bulldozer T1701 haf Persian buravo1 three-phase compressorseparate pastetachylo swing machine and other equipmentThe mine has constant electricity and lamb waterAlso exchange with real estatesold all together, not sold separatelyTranslated from Armenian",Nov-24-2022_21-59,,https://list.am/en/item/17352446
Industrial and Manufacturing,Stone,240 sq.m.,Not available,Not available,First Line,Separate from the Street,"9-я улица 12, Нор Харберт","200,000 ֏",AMD,"Сдаётся два Каменное здания для производства Нор Харберд (зонал) один 240 кв, второе 80 кв",Nov-24-2022_21-59,,https://list.am/en/item/16737419
Functioning Business,Stone,60 sq.m.,,,,,Ararat › Artashat,"$45,000",USD,"Lavash dough for sale, details on Mrganush Deghdzut road by phoneTranslated from Armenian",Nov-24-2022_22-00,,https://list.am/en/item/17977318
Industrial and Manufacturing,Panels,822 sq.m.,,,,,"Garegin Nzhdeh Street 1, Arevabuyr village","$80,000",USD,"Production area in Mrgavet (Tsakhkashen) total area 822 square meters of which 347 square meters buildingceiling height 3 m, land significance for productionI will listen to reasonable exchange options. Suitable for refrigeration and other businessesTranslated from Armenian",Nov-24-2022_22-00,,https://list.am/en/item/16767074
Industrial and Manufacturing,Stone,2000 sq.m.,,,,,Ararat › Artashat,"$65,000",USD,"• The total area is 2,000 square meters, of which the residential part is 100 square meters.• Has a barn (100 sq m), other buildings, artesian water, single phase current, swimming pool and fruit trees.It is located 400 meters from the Yerevan-Yeraskh highway, at 47 Aivazovsky Street, Artashat city.Google Maps coordinates - 39.9468919, 44.5543620CALL ONLY if you have any questions.Translated from Armenian",Nov-24-2022_22-00,,https://list.am/en/item/16630756
Retail Space,Stone,33 sq.m.,,,,,"1-ին փողոց 14/1, Նոր Խարբերդ","$18,000",USD,"The public building is located on the main street of Nor Kharberd, in front of the 2nd school, on the road, 1st line. The building is made of stone, with a monolithic roof. Has water, electricity, sewerage.Translated from Armenian",Nov-24-2022_22-00,,https://list.am/en/item/17077907
Multifunctional Space,Monolith,56 sq.m.,,,,,"Արարատյան փողոց 4, Մասիս","22,000,000 ֏",AMD,"Center. Also rent 200,000 dinars. For rent.Translated from Armenian",Nov-24-2022_22-00,,https://list.am/en/item/18364760
Functioning Business,Stone,2000 sq.m.,,,,,"15-րդ փողոց 10, Ղուկասավան","$480,000",USD,"Վաճառվում է պարիսպապատ տնամերձ տարածք Ղուկասավանում 2000 ք. Մ.:Տարածքում գտնվում է 1400 ք. Մ. Գործող ջերմոց հոլանդական վարդերով, 3 սենյականոց կահավորված տուն, 2 հարկանի շինշիլաների ֆերմա` Միակը Հայաստանում իր ոճի մեջ, սառնարան, եռաֆազ 54 կվ. Արտադրողականությանբ արևային համակարգ և այլն:Մանրամասների համար զանգահարել կամ գրել:Զանգահարել VIBER 09:00 - 11:00 և 20:00 -23:00Продаётся собственный земельный участок 2000 кв метров огороженный каменным забором.На территории находится 1400 кв метров парник с Голландскими розами, 3-х комнатный дом с мебелью и техтикой, 2-х этажная Шиншилловая ферма единственнная в Армении в своём роде, холодильный отсек, солнечная электростанция трёхфазная с мощностью 54 кВ/ч и тд.Для подробной информации звонить по VIBER с 09:00-11:00 и 20:00-23:00",Nov-24-2022_22-00,,https://list.am/en/item/16153972
Office Space,Stone,40 sq.m.,Not available,Not available,Second Line,Separate from the Courtyard,Ararat › Vedi,"$15,000",USD,"It can be a one-room apartment.In the city of Vedi, on the first floor of the Araratyan 43 building, 40.15 square meters of non-residential space. Entrance from the first porch.A drinking water line, a sewage line passes through the mech. It has an air pipe.Ceiling height 3.20It's viva for meI will negotiate the price and we will settle on the spot.I will listen to exchange options, preferably a garage and money or a car and money, the car is preferably in the range of $6,000 to $8,000 with an automatic car.Translated from Armenian",Nov-24-2022_22-00,,https://list.am/en/item/17976515
Functioning Business,Stone,1000 sq.m.,Available,Not available,First Line,Separate from the Street,Ararat › Ararat,"$225,000",USD,Վաճառվում է գործող բիզնես ։ քարի արտադրամաս և ռեստորան հյուսիս հարավ մայրուղու վրա առաջին գիծ։ ամբողջ բիզնեսը տրվում է իր գույքով և տեխնիկայով հանդերձ։Ռեստորանը 200 մ է մնացած 800 մ-ն քարի արտադրամասն է: Հնարավոր է մասնակի վաճառք ։ մանրամասների համար զանգահարեք:Продается действующий бизнес. Каменная мастерская и ресторан Север Юг на шоссе первая линия. Весь бизнес предоставляется вместе со своим имуществом и техникой.Ресторан 200 м остальные 800 м-Каменная мастерская. Позвоните для получения подробной информации,Nov-24-2022_22-00,,https://list.am/en/item/18092182
Multifunctional Space,Panels,100 sq.m.,Available,Not available,First Line,Separate from the Street,"Isakov street, Artaxata (Artashat)","$170,000",USD,"It is located in the center of Isakov street, on the first line, it consists of 3 pieces, all of them are for rent... Call for details.Translated from Armenian",Nov-24-2022_22-00,OUtdoor parking,https://list.am/en/item/13442015
Industrial and Manufacturing,Panels,"11,200 sq.m.",,,,,Ararat › Vosketap,"$99,000",USD,"A residential house and barns are available as a production container. Communication, three-phase current, water supply.Translated from Armenian",Nov-24-2022_22-00,,https://list.am/en/item/18038280
Industrial and Manufacturing,Stone,9800 sq.m.,,,,,"1-я улица 61, Саят-Нова","$350,000",USD,"Industrial area for sale consisting of 3 production buildings, there is also a residential house, a swimming pool and an orchardTranslated from Armenian",Nov-24-2022_22-00,,https://list.am/en/item/16796737
Restaurant,Stone,"10,000 sq.m.",Available,Not available,First Line,Common from the Courtyard,Ararat › Vedi,"$800,000",USD,"The area is 1 hectare, located 1 km from the center of Vedi. There is a restaurant in the area, the construction area is 2000 square meters, it includes 8 rooms, a hall for 400 people, 3 kitchens (1 outdoor) and auxiliary rooms. The restaurant is functioning, furnished, euro windows and doors, the floor is tiled. All the communications are available: Water, gas, light (with three-phase transformer)As there are other buildings in the area, warehouses 250 sq. M. And 1300 sq. M.The area under consideration is favorable for construction.Translated from Armenian",Nov-24-2022_22-00,OUtdoor parking,https://list.am/en/item/16723000
Functioning Business,Stone,1000 sq.m.,,,,,"Artashat roadway, Dimitrov","15,000,000 ֏",AMD,Operating farm \ 100 sq. M. A barn made of stone is provided with water and sewerage. There is 200 sq. M. Greenhouse and poultry house. There is a stone basement on the 2nd floor with a Finnish house with a bathroom and toilet. It is possible to exchange with an apartment happily. It is possible for rent.Translated from Armenian,Nov-24-2022_22-00,,https://list.am/en/item/12978097
