Type,Construction Type,Floor Area,Address,Price,Currency,Description,Datetime,Furniture,Elevator,Location from the Street,Entrance,Parking,Links
Building,Monolith,1000 sq.m.,Armavir › Echmiadzin,"9,900,000 ֏",AMD,"In the village of Aygeshat, 25 km from Yerevan, on the central street, it has a three-phase well, land, building, area, exchange.Translated from Armenian",Nov-24-2022_21-58,Not available,Not available,First Line,Separate from the Street,,https://list.am/en/item/14895510
Restaurant,Stone,1294 sq.m.,Armavir › Parakar,"225,000,000 ֏",AMD,"The building of the restaurant complex is exterior, the interior is in good condition, it is located in Argavand village, which has a hall for big wedding celebrations (407.5 sq. M.), living rooms, private rooms, a swimming pool, a sauna and other places for entertainment. All the communal facilities are available.The land area is 2,664 square meters.The price is negotiable.Code 9-21Translated from Armenian",Nov-24-2022_21-58,Not available,Not available,First Line,Common from the Street,,https://list.am/en/item/17244596
Industrial and Manufacturing,Stone,2800 sq.m.,Armavir › Echmiadzin,"$200,000",USD,"House and production area (poultry house) for sale. The total land area is 2800 sq. M. The building is 800 sq. M. M: Designed for 15,000 chicks in cages and 10,000 in floor barns. There is a pig farm for 50-60 pigs. There is permanent drinking water, artesian water, three-phase electricity, gas of the production area and house gas. The area is also suitable for other activities. There is also a large orchard and vineyards. We can make a discount for a real buyer. The area is for rent.Translated from Armenian",Nov-24-2022_21-58,Available,Not available,Second Line,Common from the Street,,https://list.am/en/item/16237478
Agricultural Space,Stone,"10,000 sq.m.",Armavir › Norakert,"$15,000",USD,"Agency commission $ 1000Land of village significance for sale, 700 meters away from Yerchanyan highway. Straight flat land. Permanent irrigation water.Translated from Armenian",Nov-24-2022_21-58,Not available,Not available,Other,Separate from the Street,,https://list.am/en/item/14169883
Functioning Business,Stone,500 sq.m.,Armavir › Armavir,"$700,000",USD,"Located in c. Armavir: Yerevanyan 53/27.Newly built, fully furnished.It consists of 2 apartment buildings (350 square meters and 150 square meters)The territory and buildings are cadastrally registered.For more information call.Translated from Armenian",Nov-24-2022_21-58,,,,,,https://list.am/en/item/17091786
Retail Space,Monolith,"20,000 sq.m.",Armavir › Musaler,"$1,400,000",USD,"Commercial space for sale in Musaler. It can be an open or closed market. You can build a new building in the area. It has a section for a cafe. The entrance is paved.Has,3 buildingsFireplaceArtisanal waterBathroomCode FM1001Translated from Armenian",Nov-24-2022_21-58,,,,,,https://list.am/en/item/18104509
Retail Space,Stone,"20,000 sq.m.",Armavir › Aygek,"$900,000",USD,"A large greenhouse area is for sale. All conditions for a greenhouse business are available. The area has a guard post, office and storage area. The storage area is also suitable for other productions, it was previously used as a furniture workshop. All utilities are working.Code FM1002Translated from Armenian",Nov-24-2022_21-58,,,,,,https://list.am/en/item/18104532
Functioning Business,Stone,7000 sq.m.,"Квартал Звартноц 11, Вагаршапат","$135,000",USD,"At a very urgent liquidation price, a 4500 square meter glass greenhouse is for sale, of which 2500 square meters were built this year, not used, and 2000 square meters in 2020.Translated from Armenian",Nov-24-2022_21-58,Not available,Not available,Second Line,Separate from the Street,,https://list.am/en/item/18096205
Industrial and Manufacturing,Stone,300 sq.m.,"Patkanyan Street, Vagharshapat","$50,000",USD,"Տարածքը հարմար է բիզնեսի, արտադրության և պահեստի համար:",Nov-24-2022_21-58,,,,,,https://list.am/en/item/15281374
Functioning Business,Bricks,5000 sq.m.,Armavir › Musaler,"$250,000",USD,Urgently for sale 5000 sq. M. Greenhouse near Musaler road in all conditions ․ ValueCode 2384Translated from Armenian,Nov-24-2022_21-58,Available,Not available,First Line,Separate from the Street,,https://list.am/en/item/17724192
Multifunctional Space,Stone,460 sq.m.,Armavir › Armavir,"$125,000",USD,3-storey building. Is located in front of the gas station on Norapat Khoktember road.Translated from Armenian,Nov-24-2022_21-58,,,,,,https://list.am/en/item/18093394
Functioning Business,Stone,60 sq.m.,"Hanrapetutyun street 37, Armavir","$56,000",USD,"It is very suitable for various business activities. Fast food, barber shop, etc. The price is negotiable. It is also exchanged for a new car. At an additional cost from you.Translated from Armenian",Nov-24-2022_21-58,By agreement,Not available,First Line,Common from the Street,,https://list.am/en/item/17173983
Retail Space,Stone,240 sq.m.,Armavir › Armavir,"$80,000",USD,"Located in c. Bambakashat, near the central road near the school, is for rent.Translated from Armenian",Nov-24-2022_21-58,,,,,,https://list.am/en/item/17318172
Functioning Business,Stone,250 sq.m.,"Abovyan street, Armavir","$75,000",USD,"Existing business space for sale with stable income. The area is 250 square meters, there is a beauty salon, a car repair shop in the area. For more information callA separate sale is also possible.Translated from Armenian",Nov-24-2022_21-58,,,,,,https://list.am/en/item/11930773
Agricultural Space,Stone,1300 sq.m.,Armavir › Dasht,"$170,000",USD,"A working greenhouse for sale, in accordance with European standards, with an area of 1200 square meters.In the area there is a comfortable newly built stone building with a kitchen and a bedroom, fully furnished. The area of the building is 100 square meters.Translated from Armenian",Nov-24-2022_21-58,Available,Not available,First Line,Common from the Street,,https://list.am/en/item/18112451
Everything Else,Stone,300 sq.m.,Armavir › Echmiadzin,"$3,000",USD,"URGENTLY for sale, a greenhouse with everything in very good condition, used for only 1 year.Last price. 1000000 AMD.Translated from Armenian",Nov-24-2022_21-58,By agreement,Not available,Other,Common from the Street,,https://list.am/en/item/17327027
Office Space,Stone,30 sq.m.,"Aygek-Paraqar Highway 11, Merdzavan","200,000 ֏",AMD,"30 sq. M. Is for rent. M, newly renovated, the address is on the nearest bus road, behind the gate, for other questions, call.Translated from Armenian",Nov-24-2022_21-58,,,,,,https://list.am/en/item/18371795
Multifunctional Space,Stone,500 sq.m.,Armavir › Armavir,"$125,000",USD,"The building is 12×14 m?, the land area is 500 m?, 2 stories from the highway side, 3 stories from the back side, located at the beginning of the Norapat - Sardarapat highway in front of the gas station, suitable for any purpose, 31 (community) villages pass by the road.Translated from Armenian",Nov-24-2022_21-58,,,,,,https://list.am/en/item/18086554
Agricultural Space,Stone,2250 sq.m.,Armavir › Echmiadzin,"$800,000",USD,"Կոդ՝ B-21767Վաճառվում է ֆերմա Արմավիր մարզում՝ Էջմիածին Մարգարա խճուղու վրա։ Միջին վերանորոգված է, հողի մակերեսը՝ 2,7 հա։ Ունի 2 հարկանի առանձնատուն, պտղատու այգի՝ 100 ծիրանի ծառերով, 3 ապակեպատ ջերմոց, ջրավազան, ձկնաբուծարան, 3 անասնաշենք, թռչնանոց, երշիկի ևայլ մթերքների արտադրության և պահպանման համար նախատեսված համապատասխան տարածքներ, սարքավորումներ և սառնարանային խցիկներ, հանգստի սենյակներ, պահակատուն: Տարածքում առկա է գեղեցիկ հանգստյան գոտի, ամառային խոհանոց, լողավազան: Տեղադրված է անվտագության համակարգ, հեռակառավարվող դարպասներ:Գործակալության միջնորդավճարը կազմում է 2 %: Ցուցադրությունների համար կնքվում է ցուցադրման պայմանագիր։ Խնդրում ենք Ձեզ մոտ ունենալ անձը հաստատող փաստաթուղթ։A farm for sale in Armavir region on Ejmiatsin-Margara highway. The farm is middle renovated. It has 2-storey house, orchard with 100 apricot trees, 3 glazed greenhouses, swimming-pool, fishpond, 3 livestock barns, poultry house, appropriate areas for the production and storage of sausages and other food, equipments and refrigerators, rest rooms, guard house. There is a beautiful recreation area, summer kitchen, pool in the area. Security system and remote controlled gates are installed.The commission of the Real Estate Agency is 2%. For showing the real estate, a contract is signed. Please have a passport, ID or driving-license with You.",Nov-24-2022_21-58,Not available,Not available,First Line,Separate from the Courtyard,,https://list.am/en/item/17442729
Multifunctional Space,Stone,3890 sq.m.,Armavir › Echmiadzin,"$900,000",USD,"Կոդ՝ B-21754Վաճառվում է բազմաֆունկցիոնալ կոմերցիոն տարածք Վաղարշապատում քաղաքում։ Շինության մակերեսը՝ 1558քմ։ Տարածքը վերանորոգված է։ Մուտքի դռները՝ մետաղյա, պատուհանները՝ եվրո, հատակը՝ սալիկ, պրեսգրանիտ։ Ունի խոհանոցներ, բաց և փակ լողավազաններ, շոգեբաղնիք, 4 սանհանգույց, հանդերձարաններ, մարզասրահներ, ճաշարան, գրասենյակային տարածքներ, անվտանգության տեսախցիկներ, ջեռուցման համակարգ, մշտական ջուր և գազ։ Տարածքը ծառայում է որպես սպորտի, ուսումնական, զարգացման կենտրոն։Գործակալության միջնորդավճարը կազմում է 2 %: Ցուցադրությունների համար կնքվում է ցուցադրման պայմանագիր։ Խնդրում ենք Ձեզ մոտ ունենալ անձը հաստատող փաստաթուղթ։A multifunctional commercial area for sale in Vagharshapat. The area of the building is 1558sq. M. The area is renovated. The entrance doors are metal-made, the windows are euro-based, the floor is covered by solid granite and is tiled. The area has kitchens, outdoor and indoor swimming pools, sauna, 4 bathrooms, wardrobes, gyms, canteen, office areas, security cameras, heating system and is supplied with constant water and gas. The area serves as sport, education and development center.The commission of the Real Estate Agency is 2%. For showing the real estate, a contract is signed. Please have a passport, ID or driving-license with You.",Nov-24-2022_21-58,By agreement,Not available,Other,Separate from the Street,,https://list.am/en/item/17433044
Building,Stone,1500 sq.m.,Armavir › Myasnikyan,"$34,000",USD,"A farm with its land is for sale, the land area is 1500 square meters, the farm area is 450 square meters.There is a spare part of 120 square meters, it has a house to live in. It is provided with constant water and three-phase electricity. Ferman is located next to the central highway.Translated from Armenian",Nov-24-2022_21-58,Not available,Not available,First Line,Separate from the Street,,https://list.am/en/item/16371641
Retail Space,Stone,2200 sq.m.,"Էջմիածին փողոց 1, Պտղունք","$235,000",USD,"240 sq. M. Building material shop for sale in Ptghunk, 1st line, on the main highway, front on both sides, front of the highway 36 meters, there is a 80 sq. M. Cement bunker at the back of the shop, next to the shop, by the road, there is a 125 sq. M.Translated from Armenian",Nov-24-2022_21-58,,,,,,https://list.am/en/item/17609556
Office Space,Stone,40 sq.m.,Armavir › Parakar,"$70,000",USD,"Կոդ` B-22875Վաճառվում է կոմերցիոն տարածք Փարաքարում։ Տարածքը միջին վերանորոգված է, շինության մակերեսը՝ 70 քմ։ Մուտքի դուռը՝ երկաթյա, պատուհանները՝ եվրո, հատակը՝ լամինատ։ Ունի խոհանոց, սանհանգույց, եռաֆազ հոսանք, գազի հնարավորություն և մշտական ջուր։Գործակալության միջնորդավճարը կազմում է 2 %: Ցուցադրությունների համար կնքվում է ցուցադրման պայմանագիր։ Խնդրում ենք Ձեզ մոտ ունենալ անձը հաստատող փաստաթուղթ։A commercial area for sale in Parakar․ The area is middle renovated, the area of the building is 70 sq. M. The entrance door is iron-made, the windows are euro-based, the floor is covered by laminate. The area has a kitchen, bathroom, three-phase electricity, the possibility of gas and is supplied with constant water.The commission of the Real Estate Agency is 2%. For showing the real estate, a contract is signed. Please have a passport, ID or driving-license with You.",Nov-24-2022_21-58,Not available,Not available,First Line,Common from the Street,,https://list.am/en/item/18214507
Retail Space,Stone,24 sq.m.,"Erevanyan street, Parakar","$16,500",USD,"The building was built in 2003 as a semi-detached building, it has the possibility to connect to all communications. It is located in Pharakar village, first line near the airport intersection. Also exchange with car at extra cost from you. NEGOTIABLE for real buyer.Translated from Armenian",Nov-24-2022_21-58,,,,,,https://list.am/en/item/17116756
Industrial and Manufacturing,Panels,548 sq.m.,"Aragatsi street, Vagharshapat","$30,000",USD,"Negotiable:Barn, livestock building, area, commercial area, public area, building, structure, barn, shed, land near the house, land, plot of land.Translated from Armenian",Nov-24-2022_21-58,,,,,,https://list.am/en/item/11631738
Restaurant,Stone,400 sq.m.,"2 block, Metsamor","$100,000",USD,"It is a capital building, it has gas, water, everythingTranslated from Armenian",Nov-24-2022_21-58,Not available,Not available,First Line,Separate from the Street,,https://list.am/en/item/15750488
Retail Space,Stone,278 sq.m.,"Baghramyan street 13, Armavir","$280,000",USD,"For sale ($280,000) or for rent (500,000 AMD)Located in a very busy area, front line 18 meters frontage. For details, call the indicated phone number.Hint words - shop, hall, market, supermarket, Oktemberyan Armavir, sports hall, logistics, office, office, market, supermarket, gym, clothing store, shoe storeTranslated from Armenian",Nov-24-2022_21-58,,,,,,https://list.am/en/item/16578400
Automotive Service,Stone,1178 sq.m.,Armavir › Echmiadzin,"20,500,000 ֏",AMD,Land area 1170 square meters. Area 145 chaos on the road from Etchmiadzin to Margara without intermediariesTranslated from Armenian,Nov-24-2022_21-58,,,,,,https://list.am/en/item/12365499
Retail Space,Stone,98 sq.m.,"Hanrapetutyun street 31, Armavir","$110,000",USD,"Located in the center of Armavir, call for detailsTranslated from Armenian",Nov-24-2022_21-58,By agreement,Not available,First Line,Common from the Street,,https://list.am/en/item/17429046
Office Space,Stone,62 sq.m.,"Hanrapetutyun street 6, Armavir","$75,000",USD,"Business premises for sale in the center of Armavir city, suitable for a dental clinic, office, beauty salon, training courses and other similar activities. 1m2=1210$. Long-term rental is also possible.NEGOTIABLEView all announcements.Owner:Translated from Armenian",Nov-24-2022_21-58,Not available,Not available,Second Line,Separate from the Street,,https://list.am/en/item/12627998
Industrial and Manufacturing,Stone,1720 sq.m.,"Araratyan street 5, Armavir",$120,USD,"Two adjacent public spaces of 920m2 and 800m2 are for sale in Armavir city, which has three-phase electricity and water. The area is completely fenced and located in the center of the city. It is suitable for building a wedding hall, funeral and funeral ceremonies, as well as a funeral hall. 1 m2 = $120NEGOTIABLEOwner:View all announcements.Translated from Armenian",Nov-24-2022_21-58,Not available,Not available,First Line,Separate from the Street,,https://list.am/en/item/12627979
Retail Space,Stone,30 sq.m.,Armavir › Echmiadzin,"$31,000",USD,"A grocery store with a separate building is currently for sale on Mashtots St. Has a bathroom and storage area.There is also a 4-room apartment near the store, which you can buy together with the store for $ 46,000Translated from Armenian",Nov-24-2022_21-58,Available,Not available,First Line,Common from the Street,,https://list.am/en/item/16251400
Industrial and Manufacturing,Stone,1000 sq.m.,Armavir › Tairov,"$135,000",USD,"Furniture production area with all its machines for sale. Sewing machine of the latest model, laminate saw, compressor. It has communal facilities, 3-phase electricity, permanent water, sewerage. There is a residential building. TAIROV! Exchenge is possible!Վաճառվում է կահույքի արտադրության տարածք իր բոլոր մեքենաներով: Վերջին մոդելի կարի մեքենա, լամինատե սղոց, կոմպրեսոր: Ունի կոմունալ հարմարություններ, եռաֆազ հոսանք, մշտական ջուր, կոյուղի: Կա բնակելի շենք:TAIROV!",Nov-24-2022_21-58,Available,Not available,Other,Separate from the Courtyard,,https://list.am/en/item/16706583
Everything Else,Stone,75 sq.m.,Armavir › Echmiadzin,"49,000 ֏",AMD,"Area In Zvartnots, with the main walls, only needs cosmetic repairs, it can serve as any area, including an apartment.Translated from Armenian",Nov-24-2022_21-58,,,,,,https://list.am/en/item/16667682
Functioning Business,Stone,"12,000 sq.m.","Էջմիածին փողոց 1, Պտղունք","$820,000",USD,"Arachin line Greenhouse-4500 square meters, Fruit refrigerator 300 tons, Working office, guard post, basin capacity 140 tons, warehouses J. In front of 3000 square meters on the m3 route with the permission of the water heater…. The area is located in Dasht village on the track J. Seals:Translated from Armenian",Nov-24-2022_21-58,Available,Not available,First Line,Separate from the Street,,https://list.am/en/item/17154596
Functioning Business,Stone,20 sq.m.,"1district 10, Metsamor","11,500,000 ֏",AMD,"The apartment is located in the city of Grandamor, in front of the Church, completely renovated, it has constant water and light, the renovation was completed 10 days ago, there is no work to be done, details by phoneTranslated from Armenian",Nov-24-2022_21-58,,,,,,https://list.am/en/item/18312381
Everything Else,Stone,165 sq.m.,"Tumanyan Street, Armavir","$145,000",USD,"Վաճառվում կամ տրվում է վարձով երկհարկանի կոմերցիոն տարածք էջմիածնում, (շուկայի դիմաց, Erevan City-ի հարեվանությամբ) 165Մ2 + 75Մ2 հողատարածքվարձակալության արժեքը-370.000Продаётся или сдаётся в аренду двухэтажная коммерческая недвижимость в центре города Эчмиадзина, рядом с супермаркетом Erevan City (20 метров), напротив рынка.Общая площадь 165м2, 2этажа + земельный участок 75м2цена аренды-370.000",Nov-24-2022_21-58,By agreement,Not available,First Line,Separate from the Street,,https://list.am/en/item/13907027
Retail Space,Stone,330 sq.m.,Armavir › Yeghegnut,"$100,000",USD,"An existing business premises is for sale or rent in the village Yeghegnut, Armavir regionThe area consists of 5 halls, only 330 square metersoperating marketbread and pastry factorystorage roombathroomsold with the entire propertyTranslated from Armenian",Nov-24-2022_21-58,Available,Not available,First Line,Common from the Street,,https://list.am/en/item/18184692
Retail Space,Stone,70 sq.m.,"Misak Manushyan street 1, Vagharshapat","$62,000",USD,"Without an intermediary. Zvartnots Building 1,Right next to the bus stop,very busy placefirst linehot/cold water,three-phase current,Call for more detailsTranslated from Armenian",Nov-24-2022_21-58,,,,,,https://list.am/en/item/18324628
Industrial and Manufacturing,Stone,1300 sq.m.,"Mesrop Mashtots street 12, Vagharshapat","18,000,000 ֏",AMD,The farm has light drinking water in EtchmiadzinTranslated from Armenian,Nov-24-2022_21-58,,,,,,https://list.am/en/item/16587511
Restaurant,Stone,"10,000 sq.m.",Armavir › Myasnikyan,"$125,000",USD,"The area is provided with electricity and irrigation water.There are 13 stalls in the area, 5 of which are made of stone, in a word, building businesses. Please call only genuine buyers. There is also a 90 square meter building.Translated from Armenian",Nov-24-2022_21-58,,,,,,https://list.am/en/item/16539293
Restaurant,Stone,500 sq.m.,Armavir › Armavir,"$350,000",USD,"A restaurant complex is for sale in the central part of the city of Armavir, in the city of Khoktemberyan, on Republican Street, it has 6 holiday homes with all its facilities, it has 170 square meters. The Wedding Salon.On the second floor, there is a dental clinic with an area of 140 square meters. The dental clinic, which is located on the 2nd floor of its 140 square meters, is possible. The area will be sold for $100,000, and the restaurant complex for $250,000. They have different entrances, which is from Republican Street.Translated from Armenian",Nov-24-2022_21-58,,,,,,https://list.am/en/item/18198487
Multifunctional Space,Cassette,24 sq.m.,Armavir › Parakar,"1,000,000 ֏",AMD,"A residential cabin-domic is for sale, it is in good condition, I will load it with a crane, the price is negotiable, it is from the cabin in the picture. Write to ViberTranslated from Armenian",Nov-24-2022_21-58,,,,,,https://list.am/en/item/17900323
Everything Else,Cassette,7000 sq.m.,Armavir › Echmiadzin,"$300,000",USD,"For less than half the cost price, a 7,000 square meter Dutch v-egg drip greenhouse is for sale. The total land area is about 9,000 square meters.Translated from Armenian",Nov-24-2022_21-58,Not available,Not available,Other,Separate from the Street,,https://list.am/en/item/11011643
Multifunctional Space,Cassette,20 sq.m.,"Մովսես Խորենացի փողոց 20Ա, Վաղարշապատ","9,000 ֏",AMD,Metal structure adjacent to the building.Translated from Armenian,Nov-24-2022_21-58,By agreement,Not available,First Line,Common from the Courtyard,,https://list.am/en/item/10773700
Industrial and Manufacturing,Stone,100 sq.m.,Armavir › Echmiadzin,"5,000,000 ֏",AMD,"For sale is an existing semi-finished factory with the entire property and its own marketThe area of the workshop is not for sale.For details, call the indicated phone numberTranslated from Armenian",Nov-24-2022_21-58,,,,,,https://list.am/en/item/18117426
Retail Space,Stone,21 sq.m.,Armavir › Echmiadzin,"$44,000",USD,Operating business. Possible sale without property 28000. Urgent.Translated from Armenian,Nov-24-2022_21-58,Available,Available,First Line,Common from the Street,,https://list.am/en/item/18292361
Retail Space,Stone,145 sq.m.,Armavir › Echmiadzin,"$29,900",USD,"Urgent.Privatized land of public importance in Zvartnots, right next to Yerevan-Echmiadzin bus stop, very good location, first line, for business,For more information callTranslated from Armenian",Nov-24-2022_21-58,,,,,,https://list.am/en/item/14905728
Retail Space,Stone,2000 sq.m.,"Patkanyan Street, Yerevan","$7,000",USD,"A plot of land of 2000 square meters is for sale in Arevashat village (to the left of the Musaler arch) 1000 square meters next to the house, 1000 square meters. M village of significance.Land areaTranslated from Armenian",Nov-24-2022_21-58,Not available,Not available,Second Line,Common from the Street,,https://list.am/en/item/18309913
Agricultural Space,Stone,300 sq.m.,Armavir › Musaler,"700,000 ֏",AMD,"Greenhouse for sale in Musaler villageSize 10*30m (300 sq. M), without land.The pipes are Russian, solid, except for the ceiling arches. The arches are made of square pipes.Cellophanes are fixed with stainless metal profiles.The price is negotiable.Translated from Armenian",Nov-24-2022_21-58,,,,,,https://list.am/en/item/17855529
Functioning Business,Stone,"10,000 sq.m.",Armavir › Sardarapat,"$1,200,000",USD,"Code T280:An operating business is for sale in Talvorik community. The total area is 58,000 square meters. There are 15,460 fruit trees in the area: Cherries, apricots, peaches, prunes. There is also ․ in the area substation, negative temperature and ordinary refrigerators, security watchtowers, drying and packaging plant, artesian water, light, gas.Code T-280Translated from Armenian",Nov-24-2022_21-58,Not available,Not available,Other,Separate from the Street,,https://list.am/en/item/17046565
Agricultural Space,Stone,"15,000 sq.m.",Armavir › Hovtamej,"$69,000",USD,"Продается стеклянный парник 1000квм и целлофановый парник 600квм на 15000 кв м земле, плюс 2 х комнатный домик,! По всем остальным вопросам звоните...!",Nov-24-2022_21-58,Available,Not available,Second Line,Separate from the Courtyard,,https://list.am/en/item/18216632
Industrial and Manufacturing,Stone,2000 sq.m.,Armavir › Echmiadzin,"$155,000",USD,"It has 17 bases on 2000 square meters, artisan spring about 1 second ․ 60 liters, wide -5m, long -20m, exchange with the house is possible in Yerevan with your surcharge, for long-term rentThere is also a separate plot of land on 2000 square meters (this is not included in the price)Translated from Armenian",Nov-24-2022_21-58,Not available,Not available,Second Line,Separate from the Street,,https://list.am/en/item/13986446
Multifunctional Space,Stone,"20,000 sq.m.",Armavir › Musaler,"$1,200,000",USD,"Отличная бизнес-операция Продажа большой земли площадью 20 000 квадратных метров с уже построенными ресторанами. Земля может быть использована для строительства 5-этажных жилых многокомплексов. Вода, электричество и сусадка готовы. Отличная деловая возможность, отличное расположение, отличные будущие инвестиции рядом с аэропортом Звартноц. Также предлагается деловое партнерство 50/50.",Nov-24-2022_21-58,,,,,,https://list.am/en/item/18294148
Automotive Service,Stone,400 sq.m.,"Andranik street, Vagharshapat","$350,000",USD,"Boxer 3 pieces for sale, one of which is dangrat. There is a warehouse under the whole area under the building, it is possible to use the roof as a warehouse as well. The entrance overlooks the October Yerjan Highway. Immediately behind the boxers is a two-story semi-detached house. The area of the house with the land is 1000 square meters. The price includes everything. Partial sale is possible.Translated from Armenian",Nov-24-2022_21-58,,,,,,https://list.am/en/item/16934737
Automotive Service,Stone,36 sq.m.,Armavir › Tairov,"$80,000",USD,Территория находится в Таиров сари тах.,Nov-24-2022_21-58,,,,,,https://list.am/en/item/18115203
Functioning Business,Stone,50 sq.m.,Armavir › Metsamor,"15,000,000 ֏",AMD,"Capital building in the city center, BargainTranslated from Armenian",Nov-24-2022_21-58,,,,,,https://list.am/en/item/16105932
Functioning Business,Bricks,"10,000 sq.m.",Armavir › Echmiadzin,"$95,000",USD,"Greenhouse, hectare land, Located 12 km from Yerevan, Echmiadzin Zvartnots communityGas, light, water,Total 1 hectare of land (10,000 square meters), of which 1,800 square meters is a greenhouse. Negotiable.Greenhouse, greenhouse, refrigeratorTranslated from Armenian",Nov-24-2022_21-58,,,,,,https://list.am/en/item/15634394
Functioning Business,Stone,7000 sq.m.,Armavir › Echmiadzin,"$180,000",USD,"Urgent business for sale in the region of Etchmiadzin. The total area is 7000 square meters, privatized.There is 1500 square meters in the area. M greenhouse (drip irrigation, heating)500 sq. M. M automated poultry house (800 bird nests)There is an opportunity to expand the business to grow fish in 1500 square meters. M pool and 1300 sq. M. Free space.The area is provided with constant water, gas and electricity.Reimbursement of expenses in 1.5-2 years.Code AR-70Translated from Armenian",Nov-24-2022_21-58,Not available,Not available,Other,Separate from the Courtyard,,https://list.am/en/item/17780373
Retail Space,Monolith,530 sq.m.,"Echmiatsin Highway, Khoronk","$500,000",USD,"340 sq. M. Shop for sale, 225 sq. M. Hall, the rest, warehouse, office, entrance room, bathroom.The building is newly built and capitally renovated.The store has been operating for 1.5 years, Alfa Pharma pharmacy is rented -12 sq. M.The price is without property and without goods only for land and constructionThe total land area is 530 square metersThe front of the store is 23 m from the streetOn the way to the airport, Yerevan-Etchmiadzin route, 100 m away from Zvartnots temple, near Zvartnots residential districtTranslated from Armenian",Nov-24-2022_21-58,By agreement,Not available,Second Line,Separate from the Street,,https://list.am/en/item/14995357
Functioning Business,Stone,475 sq.m.,"Erevanyan street, Armavir","$350,000",USD,Продается 350000 доллар,Nov-24-2022_21-58,Available,Not available,First Line,Separate from the Street,,https://list.am/en/item/15646529
