Type,Floor Area,Address,Price,Currency,Description,Datetime,Furniture,Elevator,Location from the Street,Entrance,Lease Type,Minimum Rental Period,Prepayment,Utility Payments,Parking,Links
Everything Else,260 sq.m.,"Խաչատուր Կեչառեցու փողոց 17, Ծաղկաձոր",$100,USD,"An area up to 260 square meters is for rent, there is also a garden with a view of 1300 square meters.The price is negotiable, next to Kecharis hotel, call for details.Translated from Armenian",Nov-24-2022_22-04,By agreement,Not available,First Line,Separate from the Street,Direct Lease,1 month,By Agreement,By Agreement,,https://list.am/en/item/17068928
Everything Else,1000 sq.m.,Kotayk › Kanakeravan,"25,000 ֏",AMD,"Օրավարձով տաղավար ՔանաքեռավանումԸնդհարձակ տաղավար կահավորված տարբեր հարմարություններով, ԼՈՂԱՎԱԶԱՆ, բացօթյա խոհանոց, թոնիր, մշտական տաք և սառը ջուր, տաղավարից առանձին հանգստի սենյակ, սանհանգույց, ընդհարձակ այգի մրգատու ծառերով, ամեն ինչ լիարժեք հանգիստ և ընտանեկան երեկոներ անցկացնելու համար, Երևանից 8կմ հեռավորության վրա:Մանրամասների համար կարող եք զանգահարել:Просторная беседка с открытой кухней, тондиром, отдельная комната для отдыха, туалет, просторный фруктовый сад, все необходимое для полноценного отдыха и семейных вечеринок, 8км от Еревана.Для получения дополнительной информации звоните.Հանգստի գոտի, ընտանեկան հանգիատ, լողավազան, беседка, природа, вечеринка, аренда, басейн, бассейн, басеин, отдых",Nov-24-2022_22-04,,,,,,,,,,https://list.am/en/item/17707915
Retail Space,35 sq.m.,"Mayisyan street, Proshyan","75,000 ֏",AMD,Commercial area on Mayisyan street. Village in ProshyanTranslated from Armenian,Nov-24-2022_22-04,,,,,,,,,,https://list.am/en/item/17738855
Functioning Business,80 sq.m.,"4-й микрорайон 47, Абовян","$79,000",USD,Магазин в Город Абовян капитально ремонт. Торг минимально...,Nov-24-2022_22-04,,,,,,,,,,https://list.am/en/item/18113304
Everything Else,40 sq.m.,Kotayk › Zovuni,"170,000 ֏",AMD,Available for rent in ZovoniaTranslated from Armenian,Nov-24-2022_22-04,,,,,,,,,,https://list.am/en/item/18138871
Everything Else,100 sq.m.,"Yeritasardakan street, Abovyan","160,000 ֏",AMD,"Urgent. Without a mediator.Q. In Abovyan, at 14/6 Yeritasardakan street, first line, a busy place is for rent a public space for different purposes. Suitable for all kinds of activities. With all utilitiesTranslated from Armenian",Nov-24-2022_22-04,Not available,Not available,First Line,Common from the Street,Direct Lease,1 year,Without prepayment,By Agreement,,https://list.am/en/item/15556510
Office Space,50 sq.m.,"Yeritasardutyan street 1, Charentsavan","120,000 ֏",AMD,"A space of 50 square meters is for rent. With its utilities. The area is suitable for organizing office, beer, and production. Bargaining is possible when renting real estate.Translated from Armenian",Nov-24-2022_22-04,,,,,,,,,,https://list.am/en/item/18090623
Everything Else,170 sq.m.,"Charents street, Yeghvard","250,000 ֏",AMD,The area of the first floor is 70 square meters. M.The area of the second floor is 50 square meters. M.The area of the spare part is 50 square meters. M.The price is negotiableTranslated from Armenian,Nov-24-2022_22-04,,,,,,,,,,https://list.am/en/item/18068376
Retail Space,70 sq.m.,"Kentron block, Hrazdan","55,000 ֏",AMD,"The area is located in a busy part of Hrazdan city center district.It has two floors (35 * 2) Formerly a shoe store, it is now rented as a shoe.Translated from Armenian",Nov-24-2022_22-04,Not available,Not available,Second Line,Common from the Street,Direct Lease,1 year,By Agreement,Not included,,https://list.am/en/item/17996583
Functioning Business,200 sq.m.,Kotayk › Arzni,"200,000 ֏",AMD,"M4 Bistro, Market Yerevan-Sevan Highway 19km from Yerevan on the right side. Before reaching Darget Brewery. Bistro for rent.Translated from Armenian",Nov-24-2022_22-04,,,,,,,,,,https://list.am/en/item/17278202
Multifunctional Space,600 sq.m.,Kotayk › Abovian,"2,400,000 ֏",AMD,"A space is for rent on the 8th km of the Yerevan-Sevan road. First row on the sidewalk in front of the Shangri-La casino, has a large parking lot, 2 floors, 600 square meters, needs partial renovation. Suitable for carrying out various activities (office, supermarket, restaurant, hotel, car dealership) the monthly rent is AMD 2,400,000.Translated from Armenian",Nov-24-2022_22-04,,,,,,,,,,https://list.am/en/item/18371254
Everything Else,200 sq.m.,"Վլադիմիր Հարությունյան փողոց 12, Ծաղկաձոր","$1,200",USD,"Дом сдается в аренду на длительный срок. Дом находиться в зоне отдыха Виардо. Включает 2 спальни, 1 гостиную + кухню, 2 ванные комнаты, 2 павильона и 2 камина во дворе. Есть все необходимые бытовые условия и техника, постоянная горячая и холодная вода, отопление. Рассчитан на 4-6 человек.",Nov-24-2022_22-04,,,,,,,,,,https://list.am/en/item/18356805
Hotel,22 sq.m.,Kotayk › Tsakhkadzor,"300,000 ֏",AMD,"Rooms for daily rent in Bagart Hotel, TsakhkadzorTranslated from Armenian",Nov-24-2022_22-04,Available,Not available,First Line,Common from the Street,Direct Lease,1 month,By Agreement,Included,OUtdoor parking,https://list.am/en/item/17477883
Restaurant,100 sq.m.,Kotayk › Tsakhkadzor,"500,000 ֏",AMD,"Restaurant area, furnishedTranslated from Armenian",Nov-24-2022_22-04,Available,Not available,First Line,Separate from the Street,Direct Lease,1 year,3 months,By Agreement,,https://list.am/en/item/17481064
Multifunctional Space,200 sq.m.,"2-րդ փողոց 21, Հրազդան","200,000 ֏",AMD,"In normal condition, heated with baxi, for rentTranslated from Armenian",Nov-24-2022_22-04,By agreement,Not available,Second Line,Common from the Street,Direct Lease,1 year,By Agreement,Not included,,https://list.am/en/item/18121844
Automotive Service,60 sq.m.,Kotayk › Zovuni,"60,000 ֏",AMD,Car service point 9 m wide 7 m long two points one yamaTranslated from Armenian,Nov-24-2022_22-04,,,,,,,,,,https://list.am/en/item/17717042
Multifunctional Space,50 sq.m.,"Ազատամարտիկների փողոց 1, Նոր Հաճն","100,000 ֏",AMD,"It is located near the new Hachni Bistro. May beserve as:Shop.Barber shop. (beauty salon)Workshop.Warehouse.It has three-phase current.I have a small area of 10 square meters. With a separate entrance.With an iron door. The fee is 30,000First picture and secondThe closed door and window in the picture. ConvenientBarber shopbeauty salonand others.094- ov vivaya also.Translated from Armenian",Nov-24-2022_22-04,,,,,,,,,,https://list.am/en/item/17979331
Industrial and Manufacturing,516 sq.m.,Kotayk › Abovian,"39,000,000 ֏",AMD,"Cattle barn for sale in Abovyan city, 43/12, has permanent water and electricity and cameras are designed to tie 113 large animals and to accommodate 30-50 calves, it is possible to sell it indoors, with 50% prepayment, for rent 250,000The price is finalTranslated from Armenian",Nov-24-2022_22-04,Not available,Not available,Second Line,Separate from the Street,Direct Lease,5 years,6 months,By Agreement,,https://list.am/en/item/16395960
Warehouse,100 sq.m.,"Mher Mkrtchyan distr. 5th street, Առինջ գյուղ","90,000 ֏",AMD,"100 sq. M. M, has electricity, water. Suitable for other tasks as well.Translated from Armenian",Nov-24-2022_22-04,,,,,,,,,,https://list.am/en/item/14734867
Multifunctional Space,40 sq.m.,"Եղբայրության փողոց 1/3, Աբովյան","100,000 ֏",AMD,"I am renting a public space in Abovyan, next to the 2nd school. Can be used for shop, office and other purposes.Translated from Armenian",Nov-24-2022_22-04,Available,Not available,First Line,Common from the Street,Direct Lease,1 year,Without prepayment,By Agreement,,https://list.am/en/item/17076959
Warehouse,45 sq.m.,Kotayk › Nor Hachen,"60,000 ֏",AMD,"An area of 45 square meters is for rent, it can be used as a warehouse, workshop, for other purposes.Translated from Armenian",Nov-24-2022_22-04,,,,,,,,,,https://list.am/en/item/17644360
Building,121 sq.m.,Kotayk › Nor Hachen,"80,000 ֏",AMD,"A basement of 121 square meters is for rent, it can be used as a warehouse, production area, mushroom growing area, for other purposes.Translated from Armenian",Nov-24-2022_22-04,,,,,,,,,,https://list.am/en/item/17644369
Retail Space,340 sq.m.,"1-я улица 1, Балаовит","150,000 ֏",AMD,"Сдаётся коммерческий магазин с площадью340кв м, имеется все коммуникации.",Nov-24-2022_22-04,Not available,Not available,First Line,Separate from the Street,Direct Lease,5 years,1 month,By Agreement,,https://list.am/en/item/17929963
Industrial and Manufacturing,650 sq.m.,Kotayk › Zovuni,"440,000 ֏",AMD,"2 areas are for rent, each 200 sq. M., in the village of Zovuni, Yeghvard Highway, the area is 650 sq. M.Translated from Armenian",Nov-24-2022_22-04,,,,,,,,,,https://list.am/en/item/16610812
Industrial and Manufacturing,650 sq.m.,Kotayk › Zovuni,"440,000 ֏",AMD,"A working business, a pumice stone workshop with its machine tools, is for rent in the village of Zovuni. The total area is 650 sq/m. 400 sq/m covered outdoors. It is possible to rent only the area. The price is 600,000 (six hundred thousand) AMD.Translated from Armenian",Nov-24-2022_22-04,,,,,,,,,,https://list.am/en/item/16441314
Functioning Business,420 sq.m.,"Երևանյան փողոց 2, Պռոշյան","$2,830",USD,"A 2-storey building (supermarket, bakery, lavash factory) located on the North-South interstate highway, located at the beginning of Proshyan community, is for rent. The business area has a convenient ոպ monopoly position in the area (from Ashtarak to Yerevan there is no similar) In case of cooperation it is possible to provide all the property and production equipment.Rent is possible on separate floors (1st, 2nd)Translated from Armenian",Nov-24-2022_22-04,Available,Not available,First Line,Common from the Street,Direct Lease,1 year,1 month,Not included,,https://list.am/en/item/17924488
Multifunctional Space,100 sq.m.,"Աշտարակի խճուղի 2, Երևան","350,000 ֏",AMD,"Real estate is located 1.5 kilometers from Yerevan on the side of the highway leading to Ashtarak. It is equipped with all utilities: Bathroom, constant water, air conditioner, internet, security system, video surveillance system, storage space. Only genuine applicants should call. The total area of the area is 830 square meters, of which 100 square meters is for the store, and the rest is for storage, which can be used for any activity. THE AREA IS SUITABLE FOR EXPANDING MANUFACTURING ACTIVITY, also for the sale of car spare parts (car wrecker)Translated from Armenian",Nov-24-2022_22-04,Not available,Not available,First Line,Separate from the Street,Direct Lease,1 year,Without prepayment,Included,,https://list.am/en/item/17437299
Industrial and Manufacturing,105 sq.m.,Kotayk › Jrvezh,"200,000 ֏",AMD,"Production area for rent in JrvezhSuitable for warehouse, car service point and other activities.There is water, electricity, sewerageTranslated from Armenian",Nov-24-2022_22-04,,,,,,,,,,https://list.am/en/item/17740257
Industrial and Manufacturing,1200 sq.m.,"Zovuni 38 street, Zovuni","150,000 ֏",AMD,"300 sq. M. Indoor space, permanent water, three-phase electricity, internet connection, cameras can serve as storageTranslated from Armenian",Nov-24-2022_22-04,,,,,,,,,,https://list.am/en/item/17902221
Warehouse,1200 sq.m.,"1-ին փողոց 1, Մայակովսկի",900 ֏,AMD,"Վարձով են տրվում գրասենյակային և պահեստային տարածքներ: 800ք/մ, 400ք/մ և այլն: 1ք/մ արժեքը 900 դրամ: Տարածքները ապահոված են մշտական ջրով, գազով, հոսանքով:",Nov-24-2022_22-04,Not available,Not available,First Line,Separate from the Courtyard,Direct Lease,6 months,By Agreement,Not included,,https://list.am/en/item/10028343
Retail Space,113 sq.m.,"Հատիս փողոց 15, Աբովյան","250,000 ֏",AMD,It is in good condition. Has heating and bathroom.Translated from Armenian,Nov-24-2022_22-04,,,,,,,,,,https://list.am/en/item/17705301
Automotive Service,400 sq.m.,Kotayk › Abovian,"$150,000",USD,"Existing business car service point, first line, gas washing machine, operating point 3, 4 garagesTranslated from Armenian",Nov-24-2022_22-04,,,,,,,,,,https://list.am/en/item/17569260
Functioning Business,40 sq.m.,"Usanogakan street, Nor Geghi","80,000 ֏",AMD,"An operating space is for rent, along with furniture if desiredTranslated from Armenian",Nov-24-2022_22-04,,,,,,,,,,https://list.am/en/item/17096066
Retail Space,200 sq.m.,Kotayk › Abovian,"3,000 ֏",AMD,"In the center of Abovyan city, inside the shopping center, on the second floor: Space for any activity is for rent (100 sq. M-200 sq. M)1 q. M-3000 AMD.Translated from Armenian",Nov-24-2022_22-04,,,,,,,,,,https://list.am/en/item/18006849
Warehouse,90 sq.m.,"Առինջի 25-րդ փողոց 31, Առինջ","130,000 ֏",AMD,"A storage area is for rent in Avan Arinj, 90 sq. M. In a very convenient place, the street is asphalted, bright, there are also cameras. For details, we will arrange a call.Translated from Armenian",Nov-24-2022_22-04,Not available,Not available,First Line,Common from the Street,Sublease,1 month,By Agreement,By Agreement,,https://list.am/en/item/16669686
Retail Space,105 sq.m.,Kotayk › Abovian,"200,000 ֏",AMD,"It is located in the city of Abovyan, 4 mikoe in the center, next to the post office, it has a bathroom area of 105 square meters.Translated from Armenian",Nov-24-2022_22-04,,,,,,,,,,https://list.am/en/item/18351946
Retail Space,15 sq.m.,"Verin Ptghni Մ-4, Yerevan","70,000 ֏",AMD,"Front line, Good busy placeTranslated from Armenian",Nov-24-2022_22-04,,,,,,,,,,https://list.am/en/item/18265996
Retail Space,40 sq.m.,Kotayk › Arinj,"150,000 ֏",AMD,"A grocery store is for rent in Arinj village. On the central street. Near the municipality hall. Currently operating, suitable for other activities as well, grocery store for rentTranslated from Armenian",Nov-24-2022_22-04,,,,,,,,,,https://list.am/en/item/17208125
Everything Else,105 sq.m.,Kotayk › Yeghvard,"250,000 ֏",AMD,Commercial area is for rent near Yeghvard Bus Station. Equipped with utilitiesTranslated from Armenian,Nov-24-2022_22-04,,,,,,,,,,https://list.am/en/item/16511120
Everything Else,"10,000 sq.m.",Kotayk › Zovuni,"250,000 ֏",AMD,"Road to Yeghvard Agricultural land for rent One hectare of arable land has an excellent irrigation opportunity, the canal is a few meters away, it is flat and uncultivated land, it is a good place for growing watermelon, potatoes and other similar products.At present, the net profit exceeds $ 1000 without any participation, only by harvesting grass.The rest by phone.Translated from Armenian",Nov-24-2022_22-04,Not available,Not available,Other,Common from the Street,Direct Lease,1 year,By Agreement,Not included,,https://list.am/en/item/17247596
Industrial and Manufacturing,3000 sq.m.,Kotayk › Zovuni,"350,000 ֏",AMD,Վարձով է տրվում արտադրական պահետային տարածք գտնվում է Զովունի-Եղվարդ խճուղու վրա հողի մակերեսը 3000քմ ունի 3 շինություններ,Nov-24-2022_22-04,Not available,Not available,Second Line,Common from the Street,Direct Lease,3 months,1 month,Not included,,https://list.am/en/item/18168286
Retail Space,75 sq.m.,"Garni street, Abovyan","120,000 ֏",AMD,The area has all the utilitiesCall for detailsTranslated from Armenian,Nov-24-2022_22-04,,,,,,,,,,https://list.am/en/item/17551768
Retail Space,432 sq.m.,Kotayk › Proshyan,"1,000,000 ֏",AMD,"A comfortable 3-storey stone building is for rent in Kotayk region, on Proshyan village.Glass front, wide outdoor advertising space, space in front for tablesThe area consists of:* 1st floor: Big hall, kitchen, bathroom,* 2nd floor: 4 rooms, separate bathroom in each room,* 3rd floor: 4 rooms, separate bathroom in each room,* 4 open balconies.Interior decoration, capitally renovatedUtilities: Three-phase electricity, internet, electricity ․ heating, solar water heating system, ventilation system, 4 air conditionersThe area is located on the first line, has partial furniture intended for fast food, barbecue with ventilation system, parking.Entrance from the road is glassThe 2nd and 3rd floors are for rent separately.Call for more information.Code G1507Translated from Armenian",Nov-24-2022_22-04,,,,,,,,,,https://list.am/en/item/17695977
Retail Space,100 sq.m.,Kotayk › Proshyan,"200,000 ֏",AMD,"A comfortable commercial area is for rent on the 1st floor of a separate 3-storey stone building in Proshyan village, Kotayk region. One spacious hall, kitchen area, bathroom.Glass front, wide outdoor advertising space, space in front for tablesInterior decoration, capitally renovatedUtilities: Three-phase electricity, internet, electricity ․ heating, solar water heating system, ventilation systemThe area is located on the first line, has partial furniture intended for fast food, barbecue with ventilation system, parking.Entrance from the road is glassSuitable for fast food outlet and for a number of other activities.Call for more information.Code G1506Translated from Armenian",Nov-24-2022_22-04,,,,,,,,,,https://list.am/en/item/17695895
Industrial and Manufacturing,1500 sq.m.,Kotayk › Zovuni,"350,000 ֏",AMD,"It is located in the front part of the Yeghvard-Zovun highway, the surface of the land is 2000 square meters, 150-200 is suitable for the building, it is suitable as a warehouse, workshop, etc. , it has all utilities, three-phase electricity, no agency!Translated from Armenian",Nov-24-2022_22-04,Not available,Not available,Second Line,Common from the Street,Direct Lease,3 months,1 month,Not included,,https://list.am/en/item/18254834
Functioning Business,60 sq.m.,Kotayk › Hrazdan,"250,000 ֏",AMD,"Brushatka factory is in good condition, 2 torches, 2 vibrating table forms with all amenities, call for details.Translated from Armenian",Nov-24-2022_22-04,,,,,,,,,,https://list.am/en/item/17715107
