Type,Construction Type,Floor Area,Address,Price,Currency,Description,Datetime,Furniture,Elevator,Location from the Street,Entrance,Parking,Links
Retail Space,Stone,20 sq.m.,"Azatamartikneri Street, Yerevan","$45,000",USD,"An existing store is for sale in the center of Stepanakert, on Azatamartiki street. The area of the store is 20 square meters, also the possibility of an annex building is 6 square meters, the store has a bathroom, internet, constant water.Translated from Armenian",Nov-24-2022_17-54,,,,,,https://list.am/en/item/18060929
Retail Space,Wooden,12 sq.m.,"Knunyantsneri street, Stepanakert","$5,500",USD,"An iron pavilion boutique with a total area of 12 square meters (3 by 4) is for sale. The pavilion is intended for making shawarma. The pavilion has an electric device for making shawarma, a refrigerator, a sink, the appropriate equipment for making french fries and a sandwich, furniture, etc.For sale with all the property.For more information callTranslated from Armenian",Nov-24-2022_17-54,Available,Not available,First Line,Common from the Courtyard,,https://list.am/en/item/17076389
Building,Panels,400 sq.m.,Artsakh › Mardakert,"$10,000",USD,Exchanged with a car. On the way to the monasteryTranslated from Armenian,Nov-24-2022_17-54,Not available,Not available,Other,Common from the Street,,https://list.am/en/item/17982816
Retail Space,Monolith,60 sq.m.,"Vagharsh Vagharshyan street, Stepanakert","22,000,000 ֏",AMD,"—Продаю 2-х этажный магазин с разными входами, каждый 30кв с своими санузлами. По дополнительным вопросам звоните или пишите. Монолитный конструкция,—Ստեփանակերտ քաղաքում վաճառվում է երկհարկանի խանութ, մուտքերը առանձին, ամեն հարկի մակերեսը 30մ2(հասցե-Վ. Վաղարշյան, Հայկավան-Արմինավան) ներկա պահին խանութները տրված էն վարձով։Շենքը Մոնոլիտային կոնստրուկցիա էԿառուցվել է շինարարական նորմերին համապատասխան:Կփոխանակեմ նաև ավտոմեքենայի հետ:",Nov-24-2022_17-54,Not available,Not available,First Line,Common from the Street,,https://list.am/en/item/15680808
Retail Space,Stone,21 sq.m.,"Vardan Mamikonyan street, Stepanakert","$28,000",USD,For sale or exchange for a car. Address V. Mamikonyan (next to the 8th school)Translated from Armenian,Nov-24-2022_17-54,Not available,Not available,First Line,Separate from the Street,,https://list.am/en/item/14582453
Retail Space,Stone,10 sq.m.,"Azatamartikneri Avenue, Stepanakert","13,000,000 ֏",AMD,"For sale in the center of the shop, near the bus station. Exchange with a car is possible.Translated from Armenian",Nov-24-2022_17-54,,,,,,https://list.am/en/item/11337830
Retail Space,Stone,50 sq.m.,"Mesrop Mashtotsi Avenue 4v, Stepanakert","11,000,000 ֏",AMD,It is located on the road leading to Hekimyan. A large flow of people. The area is 50 square meters. It is provided with constant water and electricity. Can be converted as a private house or hotel. Exchange with an equivalent vehicle is possible.Translated from Armenian,Nov-24-2022_17-54,,,,,,https://list.am/en/item/16402115
Automotive Service,Stone,350 sq.m.,"Mesrop Mashtotsi Avenue, Stepanakert","$100,000",USD,"Продаётся по частям. Продается объект на трассе Степанакерт-Аскеран. Имеется автомойка (2 места), помещение техобслуживания, магазин автозапчастей. Имеется второй этаж над магазином. Для более подробной информации звоните по указанному телефону. Возможна продажа объекта по частям.",Nov-24-2022_17-54,Available,Not available,First Line,Common from the Street,,https://list.am/en/item/15519454
Multifunctional Space,Stone,25 sq.m.,Artsakh › Stepanakert,"8,000,000 ֏",AMD,"Продаётся или сдаётся в аренду, цена договорная",Nov-24-2022_17-54,,,,,,https://list.am/en/item/18186478
Everything Else,Monolith,82 sq.m.,"Aleksey Hekimyan street, Stepanakert","$45,000",USD,"A separate two-storey building is for sale.1st floor 47 sq. M. Մ. It is a beauty salon that can be used for other purposes (shop, office or house)The area is completely renovated, there is hot-cold water with gas turbo water heater, consists of a large common room, a separate small room, a kitchen, a bathroom, a storage room (storage)2nd floor 35 sq. M. Մ. It is a residential house, consisting of a living room, a bedroom, a kitchen, a corridor and a bathroom.The house is renovated, there is hot and cold water with gas water heater.The two-storey building is for sale both separately and together.Taxes have separate ownership certificates. For sale with all the property and equipment.A little bargaining is possible.Translated from Armenian",Nov-24-2022_17-54,,,,,,https://list.am/en/item/15794426
Multifunctional Space,Stone,170 sq.m.,"Aleksey Hekimyan street 5, Stepanakert","$100,000",USD,"Продаётся помещение по адресу Экимяна 5/73. Помещение находится на втором этаже с выходом на центральную улицу. Можно использовать как под квартиру, гостиницу, кафе, ресторан, офисы, и т. Д. Есть 2 санузла, кухня, 4 балкона, маленький кабинет и большой зал (110 кв. М)Площадь помещения составляет 170 кв. М.",Nov-24-2022_17-54,,,,,,https://list.am/en/item/18231569
Retail Space,Stone,35 sq.m.,Artsakh › Stepanakert,"$42,000",USD,"Помещение с высокими потолками (4,2 метра) С высокими витражными окнами. Помещение под магазин, но можно использовать под салон, офис или другое",Nov-24-2022_17-54,,,,,,https://list.am/en/item/17992856
Industrial and Manufacturing,Panels,7800 sq.m.,Artsakh › Stepanakert,"$385,000",USD,"Ստեփանակերտ, Մելիքավան թաղամասում վաճառում եմ արտադրական տարածք 7800քմ ընդհանուր մակերեսով։ Գլխավոր ճանապարհին ու ասֆալտին մոտ։10կվ/380վ սեփական ենթակայան։Անգառ ջերմամեկուսացված 450քմ, երկու կողմից ունի բեռնատար մտնելու հնարավորություն։Քարե առանձին գրասենյակի համար նախատեսված շենք։Տարբեր տեսակի հաստոցներ.Токарные, фрезеровочные и сверлильные станки, сварочные аппараты, автовесы на 15тонн, гильотина с компрессором, шлифовальный станок, точильные станки, комбайн по дереву, термические печи разных размеров, прессы для макулатуры, гибочный станок, кузнечный молот, подьемные ворота итп, много материала.",Dec-15-2022_21-12,Not available,Not available,Second Line,Common from the Street,,https://list.am/en/item/18410555
