Type,Construction Type,Floor Area,Furniture,Elevator,Location from the Street,Entrance,Address,Price,Currency,Description,Datetime,Links
Hotel,Monolith,1600 sq.m.,,,,,"26 Commissars Street 41/1, Dilijan station","$550,000",USD,"A 4-storey hotel is for sale on the first line in the heart of Dilijan.• -1 floorSwimming pool, jacuzzi, sauna, 2 bathrooms, dressing room, small yard area, heated floor.Part of the pool is inside the building, the other part is outside.• 0 taxesOpen balcony, large stained glass windows,Large lobby, reception hall,Kitchen,Storage room for employees,3 bathrooms, all tiled,elevator section,great hall2 offices,• 1st floorRestaurant section, which is divided into 2 large halls: Summer section (courtyard) and inside the hotel.Outdoor kitchen3 bathrooms,3 1-room standard rooms,1 deluxe class 2-room room• 2nd floor5 standard numbers,2 deluxe roomsStorage roomConstruction works are 90% completed.It remains for the buyer to carry out interior decoration, improvement of the yard.Only $700,000 instead of the previous $1,000,000.For other details, write or call the indicated numbers.The hotel is listed under a real estate listing contract.Service commission: 2% of selling priceCode SKP190Translated from Armenian",Nov-24-2022_22-00,https://list.am/en/item/18043277
Multifunctional Space,Stone,150 sq.m.,Available,Not available,First Line,Separate from the Courtyard,"Kalinini street, Dilijan station","21,000,000 ֏",AMD,"Commercial (near) house on Kalinin street, communal facilities, water, electricity, internet, bathroom are for sale. At the moment it serves as a warehouse.Call for details.Translated from Armenian",Nov-24-2022_22-00,https://list.am/en/item/17766457
Retail Space,Stone,240 sq.m.,,,,,Tavush › Ijevan,"$95,000",USD,Магазин + пекарня 2 этажа. Мансардный этаж 6 комнат под гостиницу.,Nov-24-2022_22-00,https://list.am/en/item/17382632
Industrial and Manufacturing,Stone,190 sq.m.,,,,,Tavush › Ijevan,"$32,000",USD,"It is located on the first line. The front part is 4 meters. Address: Q. Ijan, Yeryanyan street. It is located in Ijan on the M4 highway. Can be used as a business area. Significance of production: (Land in Ijan) It is privatized. LandTranslated from Armenian",Nov-24-2022_22-00,https://list.am/en/item/16979753
Industrial and Manufacturing,Stone,2815 sq.m.,,,,,"Արցախյան փողոց 114, Իջևան","$40,000",USD,"It is located near Ijjan military unit, it is suitable for workshops, warehouses and to carry out other similar functions, the price is negotiable, it is possible - part in cash, part closed or part in cash, in exchange with the apartment, to arrange, for more details, call the mentioned numbers. With other convenient offers.Translated from Armenian",Nov-24-2022_22-00,https://list.am/en/item/16070813
Retail Space,Panels,35 sq.m.,Not available,Not available,First Line,Common from the Street,"Ankakhutyan Street, Ijevan","$70,000",USD,"It is located near the Glamor store, and is now rented outTranslated from Armenian",Nov-24-2022_22-00,https://list.am/en/item/18184958
Retail Space,Stone,85 sq.m.,,,,,Tavush › Haghartsin,"$32,000",USD,"A shop is for sale, which is located in the center of Haghartsin village, on the M4 highway, the shop is furnished, it has everything, it has a garage.The shop is for rentTranslated from Armenian",Nov-24-2022_22-00,https://list.am/en/item/17385593
Retail Space,Wooden,14 sq.m.,,,,,"Erevanyan street, Ijevan","$20,500",USD,"Urgently for sale! The area is located in the center of the city.If you have any questions, call the mentioned phone number.Exchange with a car! Equivalent or at your surcharge!Translated from Armenian",Nov-24-2022_22-00,https://list.am/en/item/17504444
Retail Space,Stone,180 sq.m.,Available,Not available,Second Line,Separate from the Street,"Արցախյան փողոց 114, Իջևան","45,000,000 ֏",AMD,"A three-story trade hall (shop) is for sale. The building is located in Ijevan city, near the market, exchange is possible with DAF, MAN, IVECO, JCB, CAT, KAMAZ6520-65115 types of equipment in Armenia and Russia. Call whatsapp-viberTranslated from Armenian",Nov-24-2022_22-00,https://list.am/en/item/17969184
Retail Space,Stone,90 sq.m.,Available,Not available,Second Line,Common from the Street,Tavush › Ijevan,"30,000,000 ֏",AMD,CHAPTER 2 Operating in the center of the business city.Translated from Armenian,Nov-24-2022_22-00,https://list.am/en/item/17031934
Building,Stone,400 sq.m.,Available,Not available,First Line,Separate from the Street,Tavush › Ijevan,"80,000,000 ֏",AMD,"The building is located in the city center, 5 floors, with all utilities, 1,2. The floors were renovated, 3 partially, the area adjacent to the building is 100 sq. M. M, the building is suitable for any type of use, exchange options are possible, Negotiable, call, Urgent.Translated from Armenian",Nov-24-2022_22-00,https://list.am/en/item/17137613
Functioning Business,Wooden,20 sq.m.,,,,,"Shamakhyan Street, Dilijan station","$12,000",USD,"The land is located next to AYB school, in front of the Garden.Translated from Armenian",Nov-24-2022_22-00,https://list.am/en/item/17324853
Industrial and Manufacturing,Stone,27 sq.m.,Not available,Not available,Other,Separate from the Courtyard,"Ankakhutyan Street, Ijevan","$12,500",USD,It is located in front of the Russian school. Private property for sale. A three-phase high-power transformer is available. The price is final. Also exchange with a car.Translated from Armenian,Nov-24-2022_22-00,https://list.am/en/item/17311958
Everything Else,Bricks,13 sq.m.,,,,,"4/32 РА Тавуш марз, Бердаван","450,000 ֏",AMD,"Գտնվում է Իջևանի Աչաջուր գյուղի տարածքում։Երկարությունը 6մ։Ներսից ունի վերանորոգման կարիգ, ընդանուր վերանորոգման դեպկում գինը 600000 դրամ,Ռեալ գնորդի համար գինը սակարկելի։",Nov-24-2022_22-00,https://list.am/en/item/15679848
Restaurant,Stone,262 sq.m.,,,,,"Yerevanyan St, Ijevan","$200,000",USD,A restaurant is for sale in the center of Ijevan. The area of the restaurant is 262 m2. The size of the land is 522 m2.Translated from Armenian,Nov-24-2022_22-00,https://list.am/en/item/16435992
Functioning Business,Stone,2000 sq.m.,,,,,Tavush › Dilijan,"$45,000",USD,"For sale, call for urgent detailsTranslated from Armenian",Nov-24-2022_22-00,https://list.am/en/item/18200115
Hotel,Stone,500 sq.m.,Not available,Not available,Second Line,Separate from the Street,"Kamo Street, Dilijan station","$350,000",USD,"Երկհարկանի նորակառույց քարե շենք նախատեսված հյուրատան համար, ունի 7 հատ 1 և 8 հատ 2 սենյականոց տարածքներ, լվացքատուն, եռաֆազ հոսանք, խոհանոց, 2 հատ 1 սենյականոց VIP սրահներԿոդ 44391",Nov-24-2022_22-00,https://list.am/en/item/14869440
Building,Stone,110 sq.m.,Not available,Not available,Other,Common from the Street,"Shamakhyan Street, Dilijan station","$17,000",USD,"A stone building is for sale or rent, it worked as a shop, 72 square meters, there is a spare part of about 50 square meters, it is not in the plan, but ours. It needs renovation. I have just changed the roof profile ($ 2000) to make it possible as a house. There is three-phase electricity, it can become a workshop. I may exchange with the car for an additional fee by you, or equivalent, it can be a truck, or whatever you offer, you can write and I will answer.Translated from Armenian",Nov-24-2022_22-00,https://list.am/en/item/15639660
Functioning Business,Stone,28 sq.m.,,,,,"Ankakhutyan Street, Ijevan","$70,000",USD,"An existing shop in the center of Ijevan is for sale, along with the product range and property. The price is $70,000Translated from Armenian",Nov-24-2022_22-01,https://list.am/en/item/18349150
Multifunctional Space,Stone,1000 sq.m.,,,,,Tavush › Ijevan,"$140,000",USD,The area is next to the main highway.Translated from Armenian,Nov-24-2022_22-01,https://list.am/en/item/17645245
Building,Stone,500 sq.m.,Available,Not available,First Line,Separate from the Street,Tavush › Dilijan,"$150,000",USD,"Продается капитальное здание, 3 этажа, 500 м2, в Дилижане' Хачардзане. Територия- 1800 м2.Одна комната полностью отремонтирована, столовая частично отремонтирована.Ворота с дистанционным управлением, солнечная электростанция, трехфазное электричество, бесплатная вода 24/7, газ, безлимитный бесплатный интернет, система орошения, система видеонаблюдения, возможен выход к реке Хачардзан.Он расположен на треккинговом маршруте TCT, посреди Агавнаванка и Гошаванка.Цена договорная.",Nov-24-2022_22-01,https://list.am/en/item/18265854
Retail Space,Stone,30 sq.m.,Available,Not available,First Line,Common from the Street,Tavush › Ijevan,"700,000 ₽",RUB,"My commercial space used to work as a grocery store. It has a storage room (small) and a sink (in the yard with the water drawn off) also an exchange with the car is also possible, I will listen to your suggestionsin case of exchange, the price depends on the product you offer and the price, it is also possible to exchange with real estate or livestock in the republic of Adygea or Severskaya rayon, as well as exchange with an apartment or own house in Ijevan, negotiableTranslated from Armenian",Nov-24-2022_22-01,https://list.am/en/item/17915610
Multifunctional Space,Stone,315 sq.m.,By agreement,Available,First Line,Common from the Street,"Улица Ереванян 7/7, Иджеван","99,000,000 ֏",AMD,Վաճառվում է կոմերցիոն եռահարկ շինություն բոլոր տեսակի հասարակական գործունեության համար:Продается трехэтажное коммерческое здание для всех видов общественной деятельности.,Nov-24-2022_22-01,https://list.am/en/item/16044394
Everything Else,Wooden,2000 sq.m.,Not available,Not available,First Line,Common from the Street,Tavush › Ijevan,"15,000,000 ֏",AMD,"Land for sale in Yenokavan village, very suitable for any business activity.It is a very beautiful place in the forestCall for detailsTranslated from Armenian",Nov-24-2022_22-01,https://list.am/en/item/18160479
Retail Space,Stone,80 sq.m.,,,,,"Hovsepyan Street, Dilijan station","$18,500",USD,"Very urgent, completely renovated. Can serve as an apartmentTranslated from Armenian",Nov-24-2022_22-01,https://list.am/en/item/17085630
Retail Space,Stone,31 sq.m.,,,,,Tavush › Dilijan,"$45,000",USD,Shop for sale (stone building)Translated from Armenian,Nov-24-2022_22-01,https://list.am/en/item/18255738
Hotel,Stone,1700 sq.m.,,,,,Tavush › Dilijan,"$750,000",USD,"A hotel is for sale in the city of Dilijan.The total area of the land is 1700 square meters.The land has public importance.Selling price: 750,000 USDCode: AH-K323Translated from Armenian",Nov-24-2022_22-01,https://list.am/en/item/17619098
Functioning Business,Wooden,2400 sq.m.,,,,,Tavush › Dilijan,"$1,200,000",USD,"In one of the best tourism centers of Armenia, Dilijan, a newly built recreation area is for sale.In the recreation area there is:4 beautiful wooden private houses (cottages), one of which has its own private pool and saunaa two-story building intended for administrative workplaygroundparking lot for 14 carstechnical sectionguard post24 hour security systemThis cozy corner is the best way to relax.Sale price: 1,200,000 USDCode: GS-K05Translated from Armenian",Nov-24-2022_22-01,https://list.am/en/item/17681785
Functioning Business,Stone,300 sq.m.,,,,,Tavush › Dilijan,"$260,000",USD,"Վաճառվում է գործող հյուրատուն-սրճարան ։ Ապահովում է ստաբիլ և կայուն եկանուտ ։ Ժամանակի ընդացքում հավագել է հաճախորդների մեծ բազա և համբավ ։Շինության ընդհանուր մակերեսը կազմում է 300 քմ. + կից տարածք 100քմ. ։Կապիտալ վերանորոգված է, ունի բոլոր հարմարությունները, տաք և սառը ջուր, ջեռուցում, օդորակիչ... TV, Wi_Fi. Ամբողջությամբ կահավորված է որակյալ կահույքով և կենցաղային սեխնիկայով ։Ունի երեք հարկ, 1 ին և 3րդ հարկերը ծառայում են որպես հյուրատներ, իսկ 2րդ հարկը ծառայում է որպես կոմերցիոն սրահ, որը այս պահին տրված է վարձով ։ Վաճառվում է անձնական պատճառով ։ Շատ շտապ! Հավելյառ նկաեների կամ ինֆորմացիայի համար ցանգահարեք ։",Nov-24-2022_22-01,https://list.am/en/item/12708233
Functioning Business,Stone,900 sq.m.,,,,,Tavush › Dilijan,"$300,000",USD,"An existing business is for sale or rent on Kalinini Street, Dilijan. Two guest houses and a restaurant. The total area of the guest houses is 221 m/sq. The area of the restaurant is 900 m/sq. The restaurant has 65 m/sq. It has regular customers.Translated from Armenian",Nov-24-2022_22-01,https://list.am/en/item/18222533
Office Space,Stone,400 sq.m.,,,,,"Kalinini street, Dilijan station","43,000,000 ֏",AMD,Վաճառվում է գրասենյակային տարածք քաղաք Դիլիջանում։ Շինությանը կից առկա է 560մ հողատարածք։ Գինը սակարկելի,Nov-24-2022_22-01,https://list.am/en/item/10858091
Everything Else,Stone,30 sq.m.,,,,,"Արցախյան փողոց 114, Իջևան","$2,000,000",USD,"Ijevan Stadium. Hotel, sport, gym, swimming pool. Everything. 3 hectaresTranslated from Armenian",Nov-24-2022_22-01,https://list.am/en/item/17505466
Hotel,Monolith,3946 sq.m.,Not available,Not available,Other,Separate from the Courtyard,Tavush › Dilijan,"$1,240,000",USD,"A holiday zone for sale in one of the most beautiful places in Dilijan.The recreation zone-park is built on a total land area of 7200 square meters.The complex includes 5 small and 4 large cottages.Two of the cottages are completely renovated, and seven are in zero condition.The hotel building is half-built. Only 2 floors are built.The building has 13 rooms, a swimming pool, recreation and entertainment halls.The sale price of the complex is 1,240,000 AMD equivalent to USD.In order to buy and see the complex, a Service Agreement is signed. Please have an identity document with you.Code: 0313-61238Translated from Armenian",Nov-24-2022_22-01,https://list.am/en/item/18072971
Hotel,Stone,1700 sq.m.,,,,,Tavush › Dilijan,"$800,000",USD,"Unrenovated two-story hotel for sale in the city of Dilijan, in the forest.The total area of the land is 1700 square meters.The land has public importance.Selling price: 800,000 USDCode: GS-K323Translated from Armenian",Nov-24-2022_22-01,https://list.am/en/item/17630457
Industrial and Manufacturing,Stone,260 sq.m.,,,,,Tavush › Ijevan,"$15,000",USD,"Շտապ վաճառվում կամ տրվում է վարձակալության ընդհանուրը 260 քմ շինություն, որից 70 քմ պանելային և ծածկով, մնացածը առանց ծածկ, ունի 1200 քմ, հողատարածք, բնության գրկում, ցանկապատված, կա ջուր, լույս, ճանապարհը լավ: Կարող է ծառայել թէ անասնաֆերմա, թէ արտադրության համար, որպես սահմանամերձ ազատված եկամտահարկերից: /15.000 դոլլար, վարձակալություն կպայմանավորվենք:Срочно продается или сдается в аренду здание общей площадью 260 кв. М, из них 70 кв. М с панельной крышей, остальные без крыши, имеет 1200 кв. М, земельный участок, в окружении природы, огорожен забором, есть вода, светлая, дорога хорошая. Может использоваться как для животноводства, так и для производствакак освобождение от подоходного налога на границ.15000$, договоримся об аренде.Urgently for sale or rent a total of 260 square meters of building, of which 70 square meters with panel և roof, the rest without roof, has 1200 square meters, land, surrounded by nature, fenced, there is water, light, the road is good. Can be used for both livestock and production. As exempt from income tax at the border. , $ 15,000, we will agree on a",Nov-24-2022_22-01,https://list.am/en/item/17604095
Everything Else,Monolith,60 sq.m.,,,,,"Kalinini street, Dilijan station","$75,000",USD,"Commercial area in Dilijan,The building is newly built. All amenities are available (heating, ventilation system)Can be used as a commercial or office space.An exchange with an apartment in Yerevan is possible.Translated from Armenian",Nov-24-2022_22-01,https://list.am/en/item/10121777
Functioning Business,Stone,500 sq.m.,,,,,Tavush › Dilijan,"$140,000",USD,An operating business is for saleIn HaghartsinOn the M 3 interstate roadFirst lineCode 2049Translated from Armenian,Nov-24-2022_22-01,https://list.am/en/item/17961656
Retail Space,Monolith,20 sq.m.,Not available,Not available,First Line,Common from the Street,"Մայիսի 28 փողոց 2, Իջևան","500,000 ֏",AMD,"Mobile iron-concrete structure 4 m. -5 m. On it, with a tin roof. Renovated inside and out. The building is for sale without land.Translated from Armenian",Nov-24-2022_22-01,https://list.am/en/item/16239581
Retail Space,Stone,200 sq.m.,,,,,Tavush › Ijevan,"$93,000",USD,Located in Ijevan. In front of the university.200 square meters.On the main Ijevan-Yerevan road.It also has a car wash.The price is negotiable.Those who want real should call.Urgent. Negotiable.Translated from Armenian,Nov-24-2022_22-01,https://list.am/en/item/17637185
Retail Space,Stone,80 sq.m.,,,,,"Maksim Gorky Street, Dilijan station","350,000 ֏",AMD,"A space for rent in the city of Dilijan, near the bus station. The area is provided with gas, water, three-phase electricity, ventilation system and utilities. Can be used as a cafe, shop, food factory, etc. In case of questions, call the indicated phone number.Translated from Armenian",Nov-24-2022_22-01,https://list.am/en/item/17374387
Functioning Business,Stone,1650 sq.m.,,,,,Tavush › Bagratashen,"$109,999",USD,"It is complete with all communication adaptations, everything is automated, everything works, for the rest of the questions, I will negotiate over the phoneTranslated from Armenian",Nov-24-2022_22-01,https://list.am/en/item/18088727
Retail Space,Wooden,28 sq.m.,,,,,Tavush › Dilijan,"$40,000",USD,Продам магазин в центре города Дилижан ул. Мясникяна,Nov-24-2022_22-01,https://list.am/en/item/17909789
Multifunctional Space,Stone,104 sq.m.,,,,,Tavush › Gandzakar,"$22,000",USD,"The building is located near Gandzakar municipality, it is of public construction, it has water, electricity (three-phase), it has an area of 500 square meters.Translated from Armenian",Nov-24-2022_22-01,https://list.am/en/item/16787787
Functioning Business,Stone,6500 sq.m.,,,,,"Parz Lich street, Dilijan station","$670,000",USD,"Code T240:An operating business is for sale in Dilijan, on Parz Lake street. The total area is 6500 square meters, of which 3500 square meters are privatized. Suitable for any activity.Code T-240Translated from Armenian",Nov-24-2022_22-01,https://list.am/en/item/13906732
Multifunctional Space,Stone,2000 sq.m.,,,,,Tavush › Dilijan,"$140,000",USD,Code T339:Commercial area for sale in Dilijan. The total area is 2000 square meters. There is a 2-storey building in the area. There is a living room and a kitchen on the 1st floor. There are 3 bedrooms on the 2nd floor with their bathrooms. There are also 2 wooden huts. The total area of the document is 900 square meters.Code T-339Translated from Armenian,Nov-24-2022_22-01,https://list.am/en/item/17388759
Hotel,Stone,1700 sq.m.,,,,,Tavush › Dilijan,"$800,000",USD,"Code T362:Commercial area for sale in Dilijan. The total area is 1700 square meters, and the land is 1950 square meters. The area needs renovation. Stained glass windows are installed, wall partitions are made. Communications are available. Suitable for hotel.Code T-362Translated from Armenian",Nov-24-2022_22-01,https://list.am/en/item/17613548
Hotel,Stone,930 sq.m.,,,,,Tavush › Dilijan,"$600,000",USD,"Code T335:4-storey hotel for sale in Dilijan. The total area is 520 square meters, and the land is 930 square meters. The area is fully renovated. The 1st floor, which is a basement, has an entrance hall, a sauna, a swimming pool, a bathroom. There are 3 bedrooms on the 2nd floor with their bathrooms, 2 of which have a Jacuzzi. The entrance to the hotel starts from the 3rd floor, where there is an entrance hall, a kitchen, a restaurant, a barbecue, 2 bathrooms, an open balcony. There are 3 bedrooms on the 4th floor, 1 of which has been turned into 2 rooms.Code T-335Translated from Armenian",Nov-24-2022_22-01,https://list.am/en/item/17377350
Industrial and Manufacturing,Stone,1029 sq.m.,,,,,Tavush › Ijevan,"$62,500",USD,"Հովք համայնքում վաճառվում է արտադրական տարածք՝ 519քմ անասնաշենք, 130քմ աշխատակիցների սենյակ, 380քմ հողատարածք.",Nov-24-2022_22-01,https://list.am/en/item/16248793
Hotel,Stone,2000 sq.m.,,,,,"13-րդ փողոց 18, Հաղարծին","$100,000",USD,Existing commercial premises for sale together with two stone guest houses. The area is located on the Dilijan Ijevan road. Provided with utilities. For more information call:Translated from Armenian,Nov-24-2022_22-01,https://list.am/en/item/18277345
Office Space,Stone,188 sq.m.,,,,,Tavush › Dilijan,"43,000,000 ֏",AMD,"(Code 12/005) Office for sale in Dilijan city, the area is 188.5 sq/m, and the plot size is 400 sq/m. Purpose of land: Industrial, subsoil use and other production purpose, operational purpose or plot: Public development, type of right: Ownership. The plot is 400 sq/m in the certificate, but in fact it is 840 sq/m and at the time of sale, the given additional 440 sq/m will be legalized. The office has gas, electricity, and water and sewage are available, the price is AMD 43,000,000. Attention, call only honest, conscientious, civilized and adequate people who are ready to cooperate with the real estate agency. Don't write a letter, call for all discussions. Dear buyers, the nature of the work is such that the agency does not provide a specific address over the phone. We hope you will be understanding. Citizens who speak in munat or do not answer calls, do not call, we do not work with you. I repeat once again, no address is provided over the phone.Translated from Armenian",Nov-24-2022_22-01,https://list.am/en/item/13674650
Functioning Business,Wooden,2400 sq.m.,,,,,Tavush › Dilijan,"$1,200,000",USD,"In one of the best tourism centers of Armenia, Dilijan, a newly built recreation area is for sale.In the recreation area there is:4 beautiful wooden houses (cottages), one with its own private pool and saunaa two-story structure intended for administrative workplaygroundparking for 14 carstechnical sectionguard post24 hour security systemThis cozy corner is the best way to relax.Sale price: 1,200,000 USDCode: AH-K05Translated from Armenian",Nov-24-2022_22-01,https://list.am/en/item/17683398
Multifunctional Space,Stone,428 sq.m.,,,,,"Улица Мясникяна 80, Дилижан","$420,000",USD,"2-storey detached building for sale in the center of Dilijan, on Myasnikyan street, has an entrance directly from the street, is architecturally separated from the adjacent buildings, is suitable for a hotel, guest house, restaurant complex,food facility and for other business purposes.It is possible to exchange an apartment with equivalent real estate in Yerevan or Russia.Translated from Armenian",Nov-24-2022_22-01,https://list.am/en/item/8385792
Hotel,Stone,270 sq.m.,,,,,Tavush › Bagratashen,"$80,000",USD,Commercial area in Bagratashen is for sale or rent. The area is located 800 m from the Armenia-Georgia customs point ․ away from the main road. It works as a hotel and food point. An exchange with an apartment in Yerevan is possible.Translated from Armenian,Nov-24-2022_22-01,https://list.am/en/item/17617538
Building,Stone,328 sq.m.,,,,,"Getapnya street, Dilijan station","$275,000",USD,"Unfinished 3-storey multifunctional building in Dilijan, on Getapnya street, in front of the city park and stadium.The size of the land is 110 square meters.Riverside 6aDilijan, Dilijan:Getapnya street, DilijanA half-built 3-storey mass-functional building is for rent in Dilijan.It is possible to rent both in this condition and in a renovated condition.Exchange is possibleTranslated from Armenian",Nov-24-2022_22-01,https://list.am/en/item/9803144
Everything Else,Stone,2600 sq.m.,Not available,Not available,Other,Common from the Street,"Erevanyan street, Ijevan","1,000 ֏",AMD,"26000 m2, located in front of Azatamut Price per square meter 1000 AMD, urgentTranslated from Armenian",Nov-24-2022_22-01,https://list.am/en/item/12125256
Agricultural Space,Stone,117 sq.m.,Not available,Not available,Other,Separate from the Courtyard,Tavush › Norashen,"285,404 ֏",AMD,"The property is the Bank's collateral, which is in the BANKRUPTCY auction.In Norashen village of Tavush region, a cattle barn is 117.0 square meters, the land area is 0.025 hectares.You can also purchase the presented property through crediting by the Bank with the current credit terms and tariffs.! Attention!The property is encumbered with actual users, whose eviction բոլոր all necessary costs arising from the contract and actions will be performed by the successful bidder.Translated from Armenian",Nov-24-2022_22-01,https://list.am/en/item/17864781
Multifunctional Space,Monolith,3478 sq.m.,,,,,Tavush › Ijevan,"108,000,000 ֏",AMD,"Собственность, 3478кв. Метров земли, 600 кв. М зал, бассейн на первом этаже и 3 комнаты на 2 этаже, разрешение на строительство, постоянная вода и канализация, 80 киловатт трехфазный ток, асфальтированная стоянка на много машин, одна граница территории: Стена военной полиции, другая 94 метров трассы м4 (улица Ереванян) В черте города Иджеван. Торг уместен.",Nov-24-2022_22-01,https://list.am/en/item/18268549
Functioning Business,Stone,73 sq.m.,,,,,Tavush › Ijevan,"$40,000",USD,"(Code 05/11) An object for sale in the city of Ijevan, next to the river, has 2 buildings with the areas of 35.31 sq/m and 38.25 sq/m, and the plot size is 601.9 sq/m. The facility has electricity, 24-hour water, sewage, has pavilions, is suitable for use as a shopping hall, hotel or food court, the price is 40,000 USD. The object is also exchanged for an apartment in the cities of Ijevan, Dilijan, Yerevan, or in the regional centers of the RA marzes together with our or your additional payment, depending on the value of your apartment. The object is also exchanged for a car, we will listen to your offers. Attention, call only honest, conscientious, civilized and adequate people who are ready to cooperate with the real estate agency. Don't write a letter, call for all discussions. Dear buyers, the nature of the work is such that the agency does not provide a specific address over the phone. We hope you will be understanding. Citizens who speak in munat or do not answer calls, do not call, we do not work with you. I repeat once again, no address is provided over the phone.Translated from Armenian",Nov-24-2022_22-01,https://list.am/en/item/17285012
