Type,Land Area,Address,Price,Currency,Description,Datetime,Service Lines,Links
For Residential Development,1300 sq.m.,Gegharkunik › Martuni,"$28,000",USD,There is a front line in front of the maternity hospitalTranslated from Armenian,Nov-25-2022_00-53,,https://list.am/en/item/17108337
For Residential Development,1250 sq.m.,Gegharkunik › Martuni,"2,500,000 ֏",AMD,"A plot of land near the house of 0.125 ha is for sale, the price is negotiableTranslated from Armenian",Nov-25-2022_00-53,,https://list.am/en/item/18222981
For Residential Development,1000 sq.m.,Gegharkunik › Martuni,"$18,000",USD,Продам или обменяю на авто земельный участок на ул. Григора Нарекаци,Nov-25-2022_00-53,,https://list.am/en/item/18189470
For General Purpose,"20,000 sq.m.",Gegharkunik › Sevan,"$117,900",USD,"On the bank of the river, before reaching Shorzha,Land of public significance is for saleOn the left side of the road, the best shore of Lake Sanaa, with natural sandSuitable for a variety of activities: Entertainment center, hotel complex, camping-recreation area, winter.You can also use the village ․ for the purpose (intensive garden, farm, etc.)recreation arealand:Շորժա Սևան отдых SEVAN:Sevan Hotel Country:ExchangeFarm farm guest house:Translated from Armenian",Nov-25-2022_00-53,,https://list.am/en/item/15980239
For Residential Development,1100 sq.m.,Gegharkunik › Shoghakat,"$6,900",USD,"Shoghakat community (Shorzha) In the future, a newly built neighborhood, it is privatized, there is a project for own house. Exchange with a car.Translated from Armenian",Nov-25-2022_00-53,,https://list.am/en/item/18340546
For Industrial Use,"60,000 sq.m.",Gegharkunik › Chambarak,"$199,000",USD,Карьер дацитовый туф (конгломерат) красный базальт։ Փոխանակու բնակարանի եւ մեքենայի հետ՝ Ձեր կողմից հավելավճարով։,Nov-25-2022_00-53,,https://list.am/en/item/17587651
For Residential Development,2859 sq.m.,Gegharkunik › Chambarak,"$12,000",USD,"Վաճառվում է տնամերձ հողատարածք Դպրաբակ համայնքում՝ Դիլիջան քաղաքից 30 կմ հեռավորության վրա։Մակերեսը 2859 մ2։Գտնվում է գլխավոր մայրուղուց 200 մ Հեռաորության վրա, բնակելի տարածք։",Nov-25-2022_00-53,,https://list.am/en/item/15792737
For Residential Development,1650 sq.m.,"Երևանյան խճուղի 3, Սևան","$12,000",USD,"For sale: 1650 m. Square Land 500 m from Lake Sevan, to the left of the highway, next to the Brewery. The land is privatized, flat, rectangular with the right for residential or public development. Price: 1 square meter. - 2900 drams.Translated from Armenian",Nov-25-2022_00-53,,https://list.am/en/item/18173167
For General Purpose,1500 sq.m.,Gegharkunik › Lchap,"$10,000",USD,"A plot of land near the house is for sale in the village of Lchap, Gegharkunik marz, with an area of 0.15 (ha), it is about 500m away from the Sevan coast, for detailed information, call the indicated phone number.Exchange with a car is also possibleTranslated from Armenian",Nov-25-2022_00-53,,https://list.am/en/item/17810631
Agricultural,1900 sq.m.,Gegharkunik › Astghadzor,"$1,000",USD,"19 Sotin, bordering Astghadzor, negotiable, exchange with a carTranslated from Armenian",Nov-25-2022_00-53,,https://list.am/en/item/16410564
For Residential Development,37 sq.m.,Gegharkunik › Sevan,"$9,000",USD,"It is suitable for planting a garden, irrigation water, drinking water, gas and electricity are nearbyTranslated from Armenian",Nov-25-2022_00-53,,https://list.am/en/item/18266047
For Residential Development,800 sq.m.,Gegharkunik › Sevan,"$5,500",USD,"Վաճառվում է սեփականաշնորհված հողամաս Սևանի ափին՝ Աղբերք համայնքում, դեպի Շորժա գնացող ճանապարհի ձախ մասում /չհասած Շորժա, ճանապարհից վերև, որտեղ գտնվում են կառուցված և կառուցվող ամառանոցներ, այսինքն նոր կառուցվող տների ավան է/, 2 հատ 800քմ, յուրաքանչյուրը ՝ 5500 դոլլար, միասին՝ 11000 դոլլար: Գտնվում է մի փոքր բարձրունքի վրա, որտեղից բացվում է շատ գեղեցիկ տեսարան դեպի Սևանա լիճը: Վաճառքը շտապ է, առանց միջնորդի: Հնարավոր է նաև վաճառք 2 մասով առանձին / 800քմ/:Առկա են սեփականաշնորհման փաստաթղթերը:Շուկայականից ցածր գին։ Մի փոքր սակարկելիPrivatized land for sale on the shore of Shan, in Aghberk community, on the left side of the road to Shorzha (not far from Shorzha, above the road), where there are ""summer houses under construction"", 2 800 square meters each, $ 5500 each. $ 11,000. It is located on a small hill, with a beautiful view of Lake Shana. The sale is urgent, without an intermediary. It is also possible to sell it in 2 parts separately (800 square meters)Privatization documents are available.Price below the market. Slightly negotiable",Nov-25-2022_00-53,,https://list.am/en/item/16958406
For General Purpose,4000 sq.m.,Gegharkunik › Astghadzor,"$25,000",USD,"In Astghadzor community, one barrel above the gas stove "", 40"" slippery soil, urgent...Translated from Armenian",Nov-25-2022_00-53,,https://list.am/en/item/17702161
For Public Buildings,"10,000 sq.m.",Gegharkunik › Chambarak,"$40,000",USD,"Land for public buildings in Chambarak, 10,000 sq. M. Մ.Privatized.Translated from Armenian",Nov-25-2022_00-53,,https://list.am/en/item/15730935
Agricultural,2500 sq.m.,"Կամո Շահինյան փողոց 1, Վարդենիկ","$1,000",USD,For more information callTranslated from Armenian,Nov-25-2022_00-53,,https://list.am/en/item/18352210
Agricultural,"15,000 sq.m.","Երևանյան խճուղի 3, Սևան","$45,000",USD,"For sale at a price lower than the urgent market, 15000 square meters of land, first line of Yerjan-Shan highway, 160 m front. Suitable for any activity.Code 2545Translated from Armenian",Nov-25-2022_00-53,,https://list.am/en/item/17746279
For Residential Development,2000 sq.m.,Gegharkunik › Tsapatagh,"$20,000",USD,"Land next to the house, price negotiable. A beautiful view is provided.Translated from Armenian",Nov-25-2022_00-53,,https://list.am/en/item/18180187
For Public Buildings,680 sq.m.,Gegharkunik › Sevan,"$27,000",USD,The building is located in Tsamakaberd communityThe square of the building is 112 square metersEquipped with all utilitiesGas light and water in the areaCall for other questionsCode vhs2Translated from Armenian,Nov-25-2022_00-53,,https://list.am/en/item/17438049
For Public Buildings,1200 sq.m.,Gegharkunik › Sevan,"$42,000",USD,The area is located in Chkalovka communityFenced stone fenceEquipped with all utilitiesIron gateThe foundation of the building is laid80 meters from the shore50 meters of asphalt from the roadGas 10 metersThe light is 10 metersWater in the areaOwnedVery Urgent price is valid for 10 daysCode vhs1Translated from Armenian,Nov-25-2022_00-53,,https://list.am/en/item/17438538
For General Purpose,3000 sq.m.,Gegharkunik › Sevan,"$21,000",USD,"На берегу озера Севан очень хорошое место, лес белый песок, свет вода и т. Д. Можно обсудить разные условия! Если будет влажение могу и предложить хорошый проект для бизнеса:",Nov-25-2022_00-53,,https://list.am/en/item/18142149
For Public Buildings,"85,000 sq.m.",Gegharkunik › Vardenis,"$25,000",USD,"Վաճառվում է 8,5 հա հողատարածք Գեղարքունիքի մարզի Ջաղացաձոր համայնքում՝ Մասրիկ գետի երկայնքով, որից 2,6 հա-ը նախատեսված է հիդրո էլեկտրոկայանի (ГЭС) և արևային կայանների շինարարության համար։Կլսեմ փոխանակման առաջարկներ անշարժ գույքի ինչպես նաև մեքենայի հետ",Nov-25-2022_00-53,,https://list.am/en/item/15710204
Agricultural,2600 sq.m.,Gegharkunik › Martuni,"$20,000",USD,"Land for sale near the highway of Zolakar village, on the road leading to the forest, first line, water on the head, fertile slippery soil, suitable for կառուց 'object construction, and for cultivation.Translated from Armenian",Nov-25-2022_00-53,,https://list.am/en/item/17291647
For Industrial Use,"27,520 sq.m.","Sayadyan street, Gavar boundary","$155,000",USD,"Industrial area for sale in Noratus community. The area of the land is 27520 square meters. M.: There are two workshops (1083.1 sq. M. 968.7 sq. M.) and one warehouse (877.6 sq. M.) in the area. The area has three-phase electricity, gas and water. The area is close to the road.For detailed information, you can call the indicated phone number.Call between 10:00 AM and 6:00 PM.Translated from Armenian",Nov-25-2022_00-53,,https://list.am/en/item/17789558
For Residential Development,1000 sq.m.,Gegharkunik › Tsapatagh,"$26,000",USD,Very good place. On the road. Shorzha San. Exchange with a car for your surchargeTranslated from Armenian,Nov-25-2022_00-53,,https://list.am/en/item/14377844
For Public Buildings,5000 sq.m.,Gegharkunik › Sevan,"$100,000",USD,"Own land for sale next to the Yerevan-Dilijan highway, in the Sevan section, near Chanshin. The intended meaning of land - settlements. It is possible to exchange with an apartment in Yerevan.Translated from Armenian",Nov-25-2022_00-53,,https://list.am/en/item/18221538
For Residential Development,595 sq.m.,"Isakov street, Tsamakaberd","$4,999,000",USD,700 meters from the lake near Harsnakar Complex. In TsamakaberdTranslated from Armenian,Nov-25-2022_00-53,,https://list.am/en/item/17406820
For Residential Development,600 sq.m.,Gegharkunik › Sevan,"$7,000",USD,"Q. San, new district, summer house 41. Land near the house. Exchange with an adequate car.Translated from Armenian",Nov-25-2022_00-53,,https://list.am/en/item/16042370
For Public Buildings,3100 sq.m.,Gegharkunik › Sevan,"$31,000",USD,Land of public importanceI will exchange the Arachin line for the Yerjan-San highway with a carTranslated from Armenian,Nov-25-2022_00-53,,https://list.am/en/item/16741789
For General Purpose,"19,000 sq.m.",Gegharkunik › Sevan,"$50,000",USD,"Land for renewable energy, wind blowers It is possible to install natural panels. Near the village of Semonovka, it is also possible to exchange with an apartment or a car.Commercial land:Translated from Armenian",Nov-25-2022_00-53,,https://list.am/en/item/16741796
For Public Buildings,50 sq.m.,Gegharkunik › Gavar,"$5,900",USD,"Has a certificate of ownershipIn the central busy area, next to the City Hall and the tax office. Suitable for any type of building with two floors and one basement floor5 meters front, 10 meters deep.Exchange with equivalent vehicleTranslated from Armenian",Nov-25-2022_00-53,,https://list.am/en/item/18356772
For Residential Development,800 sq.m.,Gegharkunik › Martuni,"$8,000",USD,"Land near the house for sale near Martuni maternity hospital, in the direction of the flour mill...Translated from Armenian",Nov-25-2022_00-53,,https://list.am/en/item/17576178
For Public Buildings,3000 sq.m.,"Ազատության փողոց 21, Սևան","$60,000",USD,"500 m from the highway in front of Harsnakar, suitable for any activity.Translated from Armenian",Nov-25-2022_00-53,,https://list.am/en/item/18337041
For Residential Development,800 sq.m.,Gegharkunik › Martuni,"$7,200",USD,"Urgent land for sale in the district called Krazner, there is electricity, gas, water and sewerage in the area, the price is negotiable urgentTranslated from Armenian",Nov-25-2022_00-53,,https://list.am/en/item/16413719
For General Purpose,600 sq.m.,Gegharkunik › Sevan,"$7,000",USD,"A plot of land near the house is for sale in Sevan, Cheremushka district, 300m from the lake. Suitable for building a house (negotiable)Translated from Armenian",Nov-25-2022_00-53,,https://list.am/en/item/18053282
For Residential Development,1200 sq.m.,Gegharkunik › Sevan,"$12,000",USD,"Land In Sjan, with building permit, in the beginning of Lchashen village, 500 m away from the highway, the land is in a flat area, has beautiful views, all the communal facilities are close, 3 km away from the lake, exchange with a car, I will listen to offersTranslated from Armenian",Nov-25-2022_00-53,,https://list.am/en/item/15812517
For Residential Development,1200 sq.m.,Gegharkunik › Chkalovka,"$35,000",USD,"It is located in the beginning of Chkalovka, there is also a two-storey half-built building of 110 sq. M. 200 meters from Lake Sanaa.Translated from Armenian",Nov-25-2022_00-53,,https://list.am/en/item/17855413
For Public Buildings,3300 sq.m.,Gegharkunik › Chkalovka,"$40,000",USD,"It is located at the beginning of Chkalovka community of Gegharkunik region, next to the Sevan-Gavar highway, very convenient for business.Translated from Armenian",Nov-25-2022_00-53,,https://list.am/en/item/18215676
For Public Buildings,750 sq.m.,"Մյասնիկյան փողոց 31, Մարտունի","$60,000",USD,Land in the center of Martuni. There is an old house on the plot. It is suitable for building a public object or a private house.Translated from Armenian,Nov-25-2022_00-53,,https://list.am/en/item/16082811
For Residential Development,3600 sq.m.,Gegharkunik › Kalavan,"8,000,000 ֏",AMD,"The land is located 30 km from Dilijan in the village of Dprabak, partial sale is also possible.Translated from Armenian",Nov-25-2022_00-53,,https://list.am/en/item/18015783
For Residential Development,840 sq.m.,Gegharkunik › Martuni,"$8,000",USD,Փոխանակվում է մեքենայի հետ սեփականաշնորհված տնամերձ հողատարածք Մարտունի քաղաքում: Հասցեն՝ Նարեկացու փողոց 5-րդ նրբանցք 3-րդ հողամաս (նախկին փորձադաշտ) :Երևան-Մարտունի ճանապարհի կողմից։Ճանապարհից 3-րդ հողն է՝Շինանյութի խանութի հետևի մասում։,Nov-25-2022_00-53,,https://list.am/en/item/16378209
For Residential Development,840 sq.m.,Gegharkunik › Martuni,"$8,000",USD,"Privatized land plot for sale or exchange with a car in Martuni. Address: Narekatsi street, 5th alley, 3rd plot (former testing ground)From the Yerevan-Martuni road.It is the 3rd land from the road, next to the building material store.In case of exchange, the price is $ 8000Translated from Armenian",Nov-25-2022_00-53,,https://list.am/en/item/16378194
For Residential Development,1250 sq.m.,Gegharkunik › Tsovagyugh,"$6,500",USD,For sale 1250 sq. M. Land near the house with a half-built building. Urgent!Translated from Armenian,Nov-25-2022_00-53,,https://list.am/en/item/17266430
For General Purpose,400 sq.m.,"Nairyan Street, Sevan town","$35,000",USD,"Սևան քաղաքի կենտրոնական մասում վաճառվում է հողատարածք կիսակառույց շինության հետ միասին։Տարածքը կարող է օգտագործվել ինչպես բնակելի, այնպես էլ բիզնես և կոմերցիոն նպատակներով։Продаётся земельний участок в центре Севана, недалеко от рынка. Участок можно использовать как для бизнеса, так и для жилого дома. На територии есть недостроеное здание. Продаётся срочно!",Nov-25-2022_00-53,,https://list.am/en/item/18123359
For Public Buildings,100 sq.m.,Gegharkunik › Gavar,"$14,000",USD,"A plot of land is for sale in the 25 km section of the Sevan-Martuni highway, right next to the highway. (Near Noratus-Gavar Bridge) It is suitable for various activities (gas station, gas station, car wash, food point, shop, etc.) there are 2 cabins (domic), water, electricity, gas. 60 square meters of the area is owned, the rest (about 100 square meters) is used on a long-term rental basis. (100 years) Can also be exchanged for an equivalent car. Or with an additional fee from me...Translated from Armenian",Nov-25-2022_00-53,,https://list.am/en/item/17945935
For Public Buildings,"27,000 sq.m.",Gegharkunik › Artsvanist,"$300,000",USD,"Land for sale on the shore of Shan. In the territory of Artsvanist village of Martuni region. 2.7 hectares, pine forest. There are 6 wagon cottages.The land is leased from the state until 2060.Translated from Armenian",Nov-25-2022_00-53,,https://list.am/en/item/17954066
For Residential Development,3006 sq.m.,Gegharkunik › Tsapatagh,"$36,000",USD,Village land in Tsapatagh. Exchange with a car. Urgent urgentTranslated from Armenian,Nov-25-2022_00-53,,https://list.am/en/item/16827494
For Residential Development,3006 sq.m.,Gegharkunik › Tsapatagh,"$36,000",USD,Land in Tsapatagh village on the bank of Sani. Exchange with a car.Translated from Armenian,Nov-25-2022_00-53,,https://list.am/en/item/16899402
For Residential Development,20 sq.m.,Gegharkunik › Tsovazard,"10,000,000 ֏",AMD,Land for sale near Lake Sana urgently.Translated from Armenian,Nov-25-2022_00-53,,https://list.am/en/item/17573127
For Public Buildings,650 sq.m.,Gegharkunik › Shoghakat,"$10,000",USD,Land area 650 square metersTranslated from Armenian,Nov-25-2022_00-53,,https://list.am/en/item/17958308
For Public Buildings,200 sq.m.,Gegharkunik › Sevan,"$4,000",USD,"Located in Sean, on the sea shoreTranslated from Armenian",Nov-25-2022_00-53,,https://list.am/en/item/17871725
For Residential Development,1000 sq.m.,Gegharkunik › Sevan,"$11,000",USD,Սևանի ափին գյուղ Ծափաթաղում հողատարածք ։ նաև փոխանակում մեքենայի հետ։,Nov-25-2022_00-53,,https://list.am/en/item/13623485
For Residential Development,5000 sq.m.,Gegharkunik › Sevan,"$45,000",USD,Գտնվում է Ծափաթաղ գյուղում Սևանի ափին։ Կա այգի բերքատու ծառերով։ Տունը գտնվում է բարվորաք վիճակում։ կա մեծ գոմ։ Փոխանակում բնակարանի հետ։,Nov-25-2022_00-53,,https://list.am/en/item/13623425
For Residential Development,600 sq.m.,Gegharkunik › Sevan,"$6,000",USD,"The land is located in Shane Cheremushka district, NegotiableTranslated from Armenian",Nov-25-2022_00-53,,https://list.am/en/item/17928220
For Residential Development,1000 sq.m.,Gegharkunik › Sevan,"$4,000",USD,"1000 sq. M. Land with privatization certificate is for sale in the beginning of Artanish village, right next to the highway, suitable for building holiday cottages, it is a very convenient place to build a gas station as I have 3 1000 sq. M.Translated from Armenian",Nov-25-2022_00-53,,https://list.am/en/item/7409209
For Residential Development,720 sq.m.,Gegharkunik › Sevan,"$7,000",USD,Продается земля в Севане 720 м. Рядом есть жилые дома. Есть свет газ и вода. Земля находится около ресторана Ван на трассе Севана. Адрес Нор-Тах. Можно обменять землю на машину. Звонить по номеру вайбера. Реальному покупателю будет скидка.,Nov-25-2022_00-53,,https://list.am/en/item/17187654
For General Purpose,7600 sq.m.,Gegharkunik › Tsovazard,"$60,000",USD,"I offer my own homestead of 76 sodka (7600) m, which is located in Tsovazard gyuz of Gegharkunik marz. 150-200m away from Lake Sevana, where you can build a recreation area, suitable for houses and cottages. It is provided with water, gas and electricity. There will be people who would like to build holiday homes, cottages or place cottages, the land from us.Translated from Armenian",Nov-25-2022_00-53,,https://list.am/en/item/14080111
,109 sq.m.,Gegharkunik › Gavar,"$17,000",USD,Տարածք Սեվանի ափին 1 հեկտար,Nov-25-2022_00-53,,https://list.am/en/item/15785029
For Residential Development,5000 sq.m.,Gegharkunik › Sevan,"$25,000",USD,"Սակարկելի։Ափամերձ տարածք, Նախատեսնված է հանգստյան գոտի կառուցելու համար",Nov-25-2022_00-53,,https://list.am/en/item/11555395
For Residential Development,600 sq.m.,Gegharkunik › Sevan,"$7,000",USD,"Land near the house, located in the back of the court in the city of SevanTranslated from Armenian",Nov-25-2022_00-53,,https://list.am/en/item/18376059
For Residential Development,750 sq.m.,Gegharkunik › Sevan,"$7,500",USD,"750 sq. M plot of land near the house, 500 meters away from Lake Sevan. It is very suitable for building a summer house, a guest house. 200 meters from the Sevan-Yerevan highway. Address: Nor-Tagh. Next door is the KELLERS brewery of Sevan.Translated from Armenian",Nov-25-2022_00-53,,https://list.am/en/item/17480167
For Residential Development,2000 sq.m.,Gegharkunik › Vardenis,"$15,000",USD,"URGENT! Land near the house, where there are:unfinished building 80 sq. M.-artisan 99% pure drinking water,-about 40 cubic meters of basalt stone,-light, gas, drinking water, sewer a few meters away,-the road is asphalted.It is possible to exchange it with a car.Translated from Armenian",Nov-25-2022_00-53,,https://list.am/en/item/16144023
For Public Buildings,5000 sq.m.,Gegharkunik › Sevan,"$40,000",USD,"Земля находится непосредственно примыкает к озеру Севан, назначение: Под строительство зоны отдыха.",Nov-25-2022_00-53,,https://list.am/en/item/17526419
For Residential Development,1000 sq.m.,Gegharkunik › Sevan,"$11,000",USD,"Рядом с трассой Севан-Гавар, у села Чкаловка. В 50 метрах от озера.",Nov-25-2022_00-53,,https://list.am/en/item/17363225
For Public Buildings,6100 sq.m.,"Երևանյան խճուղի 3, Սևան","$72,000",USD,"6100 square meter recreation area for sale in Sevan, Drakhtik community, 1st line, very clean beach, individual substation, water, several working cabins, part of the area is woodedTranslated from Armenian",Nov-25-2022_00-53,,https://list.am/en/item/12662827
For General Purpose,180 sq.m.,"Սայաթ-Նովա փողոց 20/25, Սևան","$19,000",USD,"Call for questions. Sayat-Nova 25/55 NEGOTIABLE Or I will exchange for an apartment, call for reasonable offers.Translated from Armenian",Nov-25-2022_00-53,,https://list.am/en/item/17791191
For Residential Development,604 sq.m.,Gegharkunik › Sevan,"3,000,000 ֏",AMD,"A 604 square meter land is for sale near the house, at 69 Oghakadze str. , In Shane Cheremushka district.I will exchange it with a carTranslated from Armenian",Nov-25-2022_00-53,,https://list.am/en/item/17441796
For Residential Development,1200 sq.m.,Gegharkunik › Sevan,"25,000,000 ֏",AMD,"Fenced land at 19 Tumanyan Street, first line, the fence with basalt stone, on which you can add taxes, was intended for a building or a three-story house, there are also sketch versions of the building.In case of 60% payment, it is possible to pay the other 40% within 3 years without interest rate with additional obligations.Translated from Armenian",Nov-25-2022_00-53,,https://list.am/en/item/16813228
For General Purpose,24 sq.m.,Gegharkunik › Gavar,"$7,500",USD,"Land for shop. The area is located in the third part of Gavar, near the shop for everything in the house. Suitable for bistro, meat, fruits and vegetables24 sq. M. The sewer and water permit and drawing are ready.Translated from Armenian",Nov-25-2022_00-53,,https://list.am/en/item/16586185
For General Purpose,3000 sq.m.,Gegharkunik › Martuni,"$15,500",USD,"Land for sale in Zolakar villageIn the area called Grakhpur, 3000 square meters (30 acres)The price is negotiable for a real buyer.Translated from Armenian",Nov-25-2022_00-53,,https://list.am/en/item/17853450
For General Purpose,3000 sq.m.,Gegharkunik › Berdkunk,"$30,000",USD,Land for sale in Berdkunk village. It is expedient both for business purposes and for use as a summer area.For questions call the mentioned phone number.Translated from Armenian,Nov-25-2022_00-53,,https://list.am/en/item/17538877
For General Purpose,30 sq.m.,"M-10 2, Tsovazard","$8,000",USD,"Land in the village of Tsovazard, call urgently for detailsTranslated from Armenian",Nov-25-2022_00-53,,https://list.am/en/item/18364663
Agricultural,7280 sq.m.,Gegharkunik › Sevan,"$6,000",USD,Arable landCall in case of questionsTranslated from Armenian,Nov-25-2022_00-53,,https://list.am/en/item/17936766
Agricultural,"21,000 sq.m.",Gegharkunik › Sevan,"$20,000",USD,Call for questionsTranslated from Armenian,Nov-25-2022_00-53,,https://list.am/en/item/17933502
Agricultural,"40,000 sq.m.",Gegharkunik › Sevan,"$35,000",USD,"No agency, owner.Agricultural land is for sale in Sjan, call if you have any questions.Translated from Armenian",Nov-25-2022_00-53,,https://list.am/en/item/17647659
For Residential Development,1530 sq.m.,Gegharkunik › Sevan,"$8,000",USD,"No agency, owner.The total area of the land is 1530 m. Q.Translated from Armenian",Nov-25-2022_00-53,,https://list.am/en/item/17289627
Agricultural,"28,000 sq.m.",Gegharkunik › Sevan,"$5,000",USD,"There is no agency.Land for sale in Sjan, total area 27840 square meters. If you have any questions, call.Translated from Armenian",Nov-25-2022_00-53,,https://list.am/en/item/17634927
For Residential Development,3006 sq.m.,Gegharkunik › Tsapatagh,"$17,500",USD,"A land plot in Tsapatagh, a village on the banks of Sevan. Also exchange for a car. Также обмен на автомобиль, a village on the banks of Sevan, a plot of land in Tsapatagh. Also exchange for a car.Translated from Armenian",Nov-25-2022_00-53,,https://list.am/en/item/18305693
For Residential Development,2150 sq.m.,Gegharkunik › Sevan,"$24,000",USD,"2150 m2 land for residential construction is for sale, it is located on the 2nd kilometer of the Sevan - Gavar road, 50m from the highway, the area of Lchashen village, in a very good location, it is a corner plot, 75 m front, the communications are very close (gas, water, electricity is right next door), it is suitable for any business.Very convenient to build a solar plant $15Translated from Armenian",Nov-25-2022_00-53,,https://list.am/en/item/18012347
For Residential Development,1000 sq.m.,Gegharkunik › Tsapatagh,"$25,500",USD,Urgently in the car with the carTranslated from Armenian,Nov-25-2022_00-53,,https://list.am/en/item/17463921
For Residential Development,1000 sq.m.,Gegharkunik › Tsapatagh,"$17,500",USD,Land in Tsapatagh village on the bank of Sani. Exchange with a car.Translated from Armenian,Nov-25-2022_00-53,,https://list.am/en/item/17111271
For Residential Development,1100 sq.m.,Gegharkunik › Martuni,"$15,000",USD,"Land for sale in c. In Martuni. The land is located on Myasnikyan str. (On the Vaghashen road in Martuni) Price is negotiable.Land, real estate, c. Martuni.Translated from Armenian",Nov-25-2022_00-53,,https://list.am/en/item/12190181
For Residential Development,700 sq.m.,"Սայաթ-Նովա փողոց 15, Սևան","$35,000",USD,12/13 m concrete zero basement floorIt is located on the main road.Please call only real buyers.Do not offer exchange or partial payment.Translated from Armenian,Nov-25-2022_00-53,,https://list.am/en/item/18273633
For Residential Development,2100 sq.m.,Gegharkunik › Lchashen,"$5,500",USD,"The land is located at the beginning of the lake building. If you are interested, call me and I will answer your questions. Exchange options are also possible.Translated from Armenian",Nov-25-2022_00-53,,https://list.am/en/item/16967188
For Residential Development,1000 sq.m.,Gegharkunik › Martuni,"$7,000",USD,"Վաճառվում է տնամերձ հողատարացք, գտնվում է Ներքին Գետաշենի Ներքին դուրան թաղամասում, 1000m։Սակարկելի",Nov-25-2022_00-53,,https://list.am/en/item/10613516
Agricultural,4000 sq.m.,Gegharkunik › Tsovazard,"$24,000",USD,Վաճառվում է Անասնագոմ 4000քմ հողամասով:Продается участок земли 4000 кв. М и ферма:Land for sale 4000 sq. M and farm:فروش زمین 4000 متری و مزرعه:,Nov-25-2022_00-53,,https://list.am/en/item/13579059
For Residential Development,5000 sq.m.,Gegharkunik › Tsovazard,"$35,000",USD,"5000 sq. M. Land (plot, land) near Lake Sanaa (about 200 meters from the lake) is for sale.Suitable for building an apartment or a private house.The land is located next to San-Gavar highway.It has the possibility of all communal facilities.For more information call...Translated from Armenian",Nov-25-2022_00-53,,https://list.am/en/item/16036860
